LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,0.5,10,C,1,170,0.8647,0.342,20.1874,9.2697
0.5,0.5,10,C,2,170,0.9441,0.1575,43.2035,12.8006
0.5,0.5,10,C,3,170,0.9353,0.1629,62.8212,11.9549
0.5,0.5,10,R,1,230,0.7261,0.446,16.0158,8.4393
0.5,0.5,10,R,2,230,0.6891,0.3522,35.6339,15.1593
0.5,0.5,10,R,3,230,0.6899,0.3131,52.4138,18.4057
0.5,0.5,10,RC,1,160,0.6062,0.4886,24.8238,15.2984
0.5,0.5,10,RC,2,160,0.8094,0.2843,61.0929,18.1163
0.5,0.5,10,RC,3,160,0.6875,0.2781,81.4075,26.1722
0.5,0.5,15,C,1,170,0.8,0.4,20.3948,10.9422
0.5,0.5,15,C,2,170,0.8559,0.2626,42.3763,17.9046
0.5,0.5,15,C,3,170,0.8529,0.2227,64.8167,21.4778
0.5,0.5,15,R,1,230,0.6043,0.489,17.3324,10.1713
0.5,0.5,15,R,2,230,0.6761,0.388,39.6144,17.7729
0.5,0.5,15,R,3,230,0.5797,0.356,47.4439,21.2516
0.5,0.5,15,RC,1,160,0.55,0.4975,22.1652,16.1668
0.5,0.5,15,RC,2,160,0.5437,0.4085,45.0944,26.8809
0.5,0.5,15,RC,3,160,0.5396,0.331,68.1888,32.1153
0.5,0.5,25,C,2,170,0.7765,0.3163,48.7784,20.374
0.5,0.5,25,C,4,170,0.7618,0.2149,89.6374,21.5627
0.5,0.5,25,C,6,170,0.7529,0.2365,118.7303,34.9489
0.5,0.5,25,R,2,230,0.6152,0.4048,40.2678,18.9161
0.5,0.5,25,R,4,230,0.6076,0.3315,81.4066,27.8957
0.5,0.5,25,R,6,230,0.6087,0.303,117.6034,33.4845
0.5,0.5,25,RC,2,160,0.4906,0.4049,43.8249,26.9319
0.5,0.5,25,RC,4,160,0.5,0.3524,90.2345,48.3715
0.5,0.5,25,RC,6,160,0.5156,0.3465,136.0871,66.8849
0.75,0.5,10,C,1,170,0.8471,0.3599,29.8573,14.3869
0.75,0.5,10,C,2,170,0.9412,0.1611,64.5362,19.5277
0.75,0.5,10,C,3,170,0.9078,0.1808,93.3848,18.288
0.75,0.5,10,R,1,230,0.7087,0.4544,23.0457,13.1306
0.75,0.5,10,R,2,230,0.6587,0.3698,50.8899,23.6211
0.75,0.5,10,R,3,230,0.6275,0.3361,74.8779,28.7597
0.75,0.5,10,RC,1,160,0.5813,0.4934,35.5777,24.0312
0.75,0.5,10,RC,2,160,0.8094,0.2843,90.5915,28.4899
0.75,0.5,10,RC,3,160,0.6729,0.285,119.218,40.8237
0.75,0.5,15,C,1,170,0.7706,0.4205,29.5551,16.8993
0.75,0.5,15,C,2,170,0.8294,0.3025,62.5623,27.6522
0.75,0.5,15,C,3,170,0.8314,0.2405,95.9727,32.9638
0.75,0.5,15,R,1,230,0.5087,0.4999,23.9112,15.3934
0.75,0.5,15,R,2,230,0.5913,0.4096,56.0155,27.7898
0.75,0.5,15,R,3,230,0.4884,0.3927,65.3286,32.871
0.75,0.5,15,RC,1,160,0.5312,0.499,31.8471,24.9754
0.75,0.5,15,RC,2,160,0.525,0.4176,64.4729,41.6199
0.75,0.5,15,RC,3,160,0.5188,0.3265,97.4796,49.8087
0.75,0.5,25,C,2,170,0.7353,0.3394,71.1322,31.4884
0.75,0.5,25,C,4,170,0.7309,0.222,129.7158,33.2234
0.75,0.5,25,C,6,170,0.7216,0.2417,173.295,54.8866
0.75,0.5,25,R,2,230,0.5565,0.4158,56.1865,29.4362
0.75,0.5,25,R,4,230,0.5348,0.361,112.6708,45.5913
0.75,0.5,25,R,6,230,0.5449,0.3303,163.4042,56.2457
0.75,0.5,25,RC,2,160,0.4781,0.4045,61.9605,41.1977
0.75,0.5,25,RC,4,160,0.4813,0.3575,128.0559,75.6857
0.75,0.5,25,RC,6,160,0.5042,0.355,193.7799,106.717
1.0,0.5,10,C,1,170,0.8471,0.3599,39.4527,19.6036
1.0,0.5,10,C,2,170,0.9324,0.171,85.6984,26.4073
1.0,0.5,10,C,3,170,0.902,0.1831,123.3498,24.8914
1.0,0.5,10,R,1,230,0.6174,0.486,29.3977,17.8551
1.0,0.5,10,R,2,230,0.6065,0.3964,65.3616,32.535
1.0,0.5,10,R,3,230,0.5884,0.3443,95.3938,39.8529
1.0,0.5,10,RC,1,160,0.5813,0.4934,46.1465,32.883
1.0,0.5,10,RC,2,160,0.8063,0.285,120.0644,38.93
1.0,0.5,10,RC,3,160,0.6708,0.2838,156.6192,55.7632
1.0,0.5,15,C,1,170,0.7588,0.4278,38.625,23.0505
1.0,0.5,15,C,2,170,0.8206,0.3142,82.4287,37.6551
1.0,0.5,15,C,3,170,0.8294,0.2405,126.7242,44.6795
1.0,0.5,15,R,1,230,0.4739,0.4993,29.6262,20.5866
1.0,0.5,15,R,2,230,0.5543,0.4148,70.9743,37.8273
1.0,0.5,15,R,3,230,0.4319,0.3992,80.7852,45.0855
1.0,0.5,15,RC,1,160,0.5312,0.499,41.3922,33.9171
1.0,0.5,15,RC,2,160,0.525,0.4176,83.6178,56.7378
1.0,0.5,15,RC,3,160,0.5146,0.3267,126.2399,67.5664
1.0,0.5,25,C,2,170,0.7324,0.3393,92.6668,42.8071
1.0,0.5,25,C,4,170,0.7235,0.2237,169.0503,45.4362
1.0,0.5,25,C,6,170,0.7196,0.2415,227.0502,74.8734
1.0,0.5,25,R,2,230,0.5239,0.4202,71.0167,40.4608
1.0,0.5,25,R,4,230,0.4935,0.3619,141.3848,64.7785
1.0,0.5,25,R,6,230,0.5138,0.3379,205.7094,80.8164
1.0,0.5,25,RC,2,160,0.4781,0.4045,80.0882,55.9278
1.0,0.5,25,RC,4,160,0.4797,0.3568,165.4852,103.3997
1.0,0.5,25,RC,6,160,0.5031,0.3557,250.9597,147.1309
1.5,0.5,10,C,1,170,0.8412,0.3655,58.5425,30.1298
1.5,0.5,10,C,2,170,0.9324,0.171,127.96,40.3581
1.5,0.5,10,C,3,170,0.898,0.1845,182.9079,38.5871
1.5,0.5,10,R,1,230,0.6087,0.488,41.5422,27.7902
1.5,0.5,10,R,2,230,0.5891,0.4061,92.6278,51.3495
1.5,0.5,10,R,3,230,0.5609,0.365,133.8207,63.5985
1.5,0.5,10,RC,1,160,0.5813,0.4934,67.2842,50.9003
1.5,0.5,10,RC,2,160,0.8063,0.285,178.848,59.8755
1.5,0.5,10,RC,3,160,0.6667,0.2814,231.0646,85.7113
1.5,0.5,15,C,1,170,0.7588,0.4278,56.4869,35.602
1.5,0.5,15,C,2,170,0.8206,0.3142,122.102,58.0372
1.5,0.5,15,C,3,170,0.8294,0.2405,188.2008,68.4239
1.5,0.5,15,R,1,230,0.4696,0.4991,40.6888,31.8857
1.5,0.5,15,R,2,230,0.5239,0.4254,98.9299,58.0313
1.5,0.5,15,R,3,230,0.4232,0.4013,109.2877,71.1684
