instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
010_C101,10,C,1,0,OPTIMAL,6.4458,1,0,0,0,1,0.0,0.0,0.0,6.4458,120,2.0,2.0,1.0
010_C101,10,C,1,1,OPTIMAL,2.8206,1,0,0,0,1,0.0,0.0,0.0,2.8206,120,2.0,2.0,1.0
010_C101,10,C,1,2,OPTIMAL,7.8471,1,0,0,0,1,0.0,0.0,0.0,7.8471,120,2.0,2.0,1.0
010_C101,10,C,1,3,OPTIMAL,32.5475,1,0,0,0,1,0.0,0.0,0.0,32.5475,120,2.0,2.0,1.0
010_C101,10,C,1,4,OPTIMAL,121.8107,1,1,1,0,0,1.0,121.8107,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,1,5,OPTIMAL,147.1087,1,1,1,0,0,1.0,147.1087,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,1,6,OPTIMAL,34.8271,1,1,1,0,0,1.0,34.8271,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,1,7,OPTIMAL,74.9569,1,1,1,0,0,1.0,74.9569,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,1,8,OPTIMAL,5.5276,1,0,0,0,1,0.0,0.0,0.0,5.5276,120,2.0,2.0,1.0
010_C101,10,C,1,9,OPTIMAL,64.0891,1,1,1,0,0,1.0,64.0891,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,2,0,OPTIMAL,132.1304,2,1,1,0,1,0.5,85.0653,0.0,47.065,120,2.0,2.0,1.0
010_C101,10,C,2,1,OPTIMAL,230.8121,2,2,2,0,0,1.0,230.8121,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,2,2,OPTIMAL,150.2687,2,2,2,0,0,1.0,150.2687,0.0,0.0,120,2.0,2.0,1.0
010_C101,10,C,2,3,OPTIMAL,49.7179,2,1,1,0,1,0.5,48.5465,0.0,1.1714,120,2.0,2.0,1.0
