LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,5,10,C,1,170,0.9294,0.2561,20.8039,8.5388
0.5,5,10,C,2,170,0.9706,0.1176,43.8071,12.0392
0.5,5,10,C,3,170,0.951,0.1336,63.3625,11.5286
0.5,5,10,R,1,230,0.7826,0.4125,16.6165,8.1322
0.5,5,10,R,2,230,0.8457,0.2491,39.6442,12.1695
0.5,5,10,R,3,230,0.7928,0.2781,57.4544,17.6245
0.5,5,10,RC,1,160,0.7812,0.4134,30.5667,13.2653
0.5,5,10,RC,2,160,0.9,0.2,66.6624,13.3679
0.5,5,10,RC,3,160,0.8229,0.2202,93.6065,20.8408
0.5,5,15,C,1,170,0.9176,0.2749,22.3634,10.0863
0.5,5,15,C,2,170,0.9176,0.2007,44.2713,16.4401
0.5,5,15,C,3,170,0.9,0.1728,67.1007,19.528
0.5,5,15,R,1,230,0.7739,0.4183,19.4902,9.3308
0.5,5,15,R,2,230,0.763,0.3447,42.8085,16.5838
0.5,5,15,R,3,230,0.6855,0.3079,52.0962,19.5529
0.5,5,15,RC,1,160,0.7375,0.44,27.8032,13.9073
0.5,5,15,RC,2,160,0.7562,0.3445,58.3013,22.645
0.5,5,15,RC,3,160,0.7771,0.2706,90.3425,25.972
0.5,5,25,C,2,170,0.8824,0.2443,52.2372,19.5929
0.5,5,25,C,4,170,0.8779,0.1699,97.5856,20.478
0.5,5,25,C,6,170,0.8235,0.1876,124.1643,31.6461
0.5,5,25,R,2,230,0.7457,0.3386,44.797,16.7281
0.5,5,25,R,4,230,0.7815,0.2316,93.8398,21.6186
0.5,5,25,R,6,230,0.7355,0.2346,129.111,26.3272
0.5,5,25,RC,2,160,0.7219,0.348,57.9776,24.0573
0.5,5,25,RC,4,160,0.7031,0.288,117.6495,38.8368
0.5,5,25,RC,6,160,0.7458,0.2608,181.0915,48.7091
0.75,5,10,C,1,170,0.9235,0.2657,31.0191,13.0942
0.75,5,10,C,2,170,0.9676,0.123,65.5972,18.2152
0.75,5,10,C,3,170,0.9431,0.1401,94.7169,17.5899
0.75,5,10,R,1,230,0.7696,0.4211,24.2524,12.866
0.75,5,10,R,2,230,0.8261,0.2641,58.2237,19.3561
0.75,5,10,R,3,230,0.7623,0.2925,83.8711,27.1642
0.75,5,10,RC,1,160,0.7688,0.4216,44.8885,21.026
0.75,5,10,RC,2,160,0.9,0.2,99.3787,20.9344
0.75,5,10,RC,3,160,0.8229,0.2202,138.9857,32.5154
0.75,5,15,C,1,170,0.9,0.3,33.0395,15.3756
0.75,5,15,C,2,170,0.9118,0.2125,66.0535,25.1755
0.75,5,15,C,3,170,0.898,0.1773,100.1975,29.794
0.75,5,15,R,1,230,0.7391,0.4391,28.2869,14.495
0.75,5,15,R,2,230,0.7196,0.3621,61.796,25.8788
0.75,5,15,R,3,230,0.6391,0.3285,74.0099,30.5743
0.75,5,15,RC,1,160,0.7375,0.44,40.899,21.9058
0.75,5,15,RC,2,160,0.7469,0.3491,85.8685,35.374
0.75,5,15,RC,3,160,0.7708,0.2743,132.9961,41.3274
0.75,5,25,C,2,170,0.8647,0.2699,77.6228,30.1125
0.75,5,25,C,4,170,0.8706,0.1698,144.8927,31.7336
0.75,5,25,C,6,170,0.8108,0.1887,183.6933,49.3845
0.75,5,25,R,2,230,0.7087,0.3519,65.0023,26.3511
0.75,5,25,R,4,230,0.7435,0.2606,136.2917,34.6341
0.75,5,25,R,6,230,0.7058,0.249,186.9956,43.2699
0.75,5,25,RC,2,160,0.7219,0.348,85.3438,37.0457
0.75,5,25,RC,4,160,0.6969,0.2937,171.9636,61.3731
0.75,5,25,RC,6,160,0.7427,0.2621,266.0303,77.8747
1.0,5,10,C,1,170,0.9235,0.2657,41.2094,17.6905
1.0,5,10,C,2,170,0.9676,0.123,87.3715,24.4343
1.0,5,10,C,3,170,0.9431,0.1401,125.944,23.7922
1.0,5,10,R,1,230,0.7609,0.4266,31.7273,17.6802
1.0,5,10,R,2,230,0.7957,0.3014,76.188,26.9388
1.0,5,10,R,3,230,0.742,0.3032,109.4878,37.0973
1.0,5,10,RC,1,160,0.7688,0.4216,59.0873,28.8867
1.0,5,10,RC,2,160,0.9,0.2,132.095,28.571
1.0,5,10,RC,3,160,0.8229,0.2202,184.3649,44.284
1.0,5,15,C,1,170,0.9,0.3,43.7017,20.8238
1.0,5,15,C,2,170,0.9118,0.2125,87.8205,33.9515
1.0,5,15,C,3,170,0.8961,0.178,133.2261,40.0276
1.0,5,15,R,1,230,0.7043,0.4563,36.6138,19.7506
1.0,5,15,R,2,230,0.7043,0.3695,80.2761,35.4776
1.0,5,15,R,3,230,0.6087,0.3469,94.8066,42.2419
1.0,5,15,RC,1,160,0.7375,0.44,53.9947,29.963
1.0,5,15,RC,2,160,0.7469,0.3491,113.3352,48.2967
1.0,5,15,RC,3,160,0.7688,0.2739,175.5075,56.7711
1.0,5,25,C,2,170,0.8647,0.2699,102.7999,40.918
1.0,5,25,C,4,170,0.8706,0.1698,192.1122,43.1073
1.0,5,25,C,6,170,0.8108,0.1887,242.989,67.1992
1.0,5,25,R,2,230,0.7043,0.3514,84.7936,36.1871
1.0,5,25,R,4,230,0.7261,0.2708,177.3664,48.7154
1.0,5,25,R,6,230,0.6993,0.2526,243.5749,61.3657
1.0,5,25,RC,2,160,0.7219,0.348,112.7099,50.1737
1.0,5,25,RC,4,160,0.6953,0.2967,225.9512,84.6029
1.0,5,25,RC,6,160,0.7417,0.2621,350.7077,107.3196
1.5,5,10,C,1,170,0.8941,0.3077,61.4269,26.9825
1.5,5,10,C,2,170,0.9676,0.123,130.9203,36.8942
1.5,5,10,C,3,170,0.9392,0.1431,188.3317,36.2828
1.5,5,10,R,1,230,0.7522,0.4318,46.6252,27.5329
1.5,5,10,R,2,230,0.7848,0.3169,111.3049,43.3235
1.5,5,10,R,3,230,0.7348,0.315,159.5044,57.8422
1.5,5,10,RC,1,160,0.7688,0.4216,87.4849,44.8468
1.5,5,10,RC,2,160,0.9,0.2,197.5277,43.9081
1.5,5,10,RC,3,160,0.8208,0.2201,275.0701,67.8873
1.5,5,15,C,1,170,0.8824,0.3222,64.7727,31.8114
1.5,5,15,C,2,170,0.9118,0.2125,131.3545,51.525
1.5,5,15,C,3,170,0.8961,0.178,199.257,60.535
1.5,5,15,R,1,230,0.6913,0.462,52.8241,30.7633
1.5,5,15,R,2,230,0.6891,0.3702,116.0459,54.8606
1.5,5,15,R,3,230,0.5956,0.3562,134.9768,66.3482
1.5,5,15,RC,1,160,0.7375,0.44,80.1861,46.1305
1.5,5,15,RC,2,160,0.7438,0.3491,168.1576,74.3141
1.5,5,15,RC,3,160,0.7667,0.2759,260.1816,87.8465
1.5,5,25,C,2,170,0.8647,0.2699,153.1541,62.6118
1.5,5,25,C,4,170,0.8706,0.1698,286.5513,65.9485
1.5,5,25,C,6,170,0.8108,0.1887,361.5805,102.9118
1.5,5,25,R,2,230,0.7022,0.3511,124.1464,56.0854
1.5,5,25,R,4,230,0.7109,0.2819,257.6659,78.5223
1.5,5,25,R,6,230,0.6862,0.2605,355.0948,98.9446
1.5,5,25,RC,2,160,0.7188,0.3477,167.1139,76.502
1.5,5,25,RC,4,160,0.6953,0.2967,333.7954,131.5866
1.5,5,25,RC,6,160,0.7417,0.2621,519.8899,166.521
2.0,5,10,C,1,170,0.8941,0.3077,81.3733,36.6187
2.0,5,10,C,2,170,0.9676,0.123,174.4691,49.3648
2.0,5,10,C,3,170,0.9353,0.1459,250.5293,48.8038
2.0,5,10,R,1,230,0.7391,0.4391,61.4312,37.5396
2.0,5,10,R,2,230,0.7761,0.3278,146.1528,60.2015
2.0,5,10,R,3,230,0.7304,0.3182,209.2145,79.4407
2.0,5,10,RC,1,160,0.7688,0.4216,115.8826,60.9164
2.0,5,10,RC,2,160,0.9,0.2,262.9604,59.2753
2.0,5,10,RC,3,160,0.8208,0.2201,365.6077,91.5137
2.0,5,15,C,1,170,0.8765,0.329,85.4747,42.929
2.0,5,15,C,2,170,0.9118,0.2125,174.8885,69.1088
2.0,5,15,C,3,170,0.8961,0.178,265.2879,81.0839
2.0,5,15,R,1,230,0.6913,0.462,68.9758,42.2206
2.0,5,15,R,2,230,0.6804,0.3716,151.4563,74.5423
2.0,5,15,R,3,230,0.5913,0.3573,174.6777,91.1158
2.0,5,15,RC,1,160,0.7375,0.44,106.3776,62.3227
2.0,5,15,RC,2,160,0.7438,0.3491,222.858,100.4323
2.0,5,15,RC,3,160,0.7667,0.2759,344.8439,119.0981
2.0,5,25,C,2,170,0.8647,0.2699,203.5083,84.3449
2.0,5,25,C,4,170,0.8706,0.1698,380.9903,88.8345
2.0,5,25,C,6,170,0.8108,0.1887,480.1719,138.6639
2.0,5,25,R,2,230,0.7,0.3508,163.3851,76.085
2.0,5,25,R,4,230,0.7054,0.2825,337.0357,109.469
2.0,5,25,R,6,230,0.6819,0.264,464.959,137.6218
2.0,5,25,RC,2,160,0.7188,0.3477,221.4447,102.9392
2.0,5,25,RC,4,160,0.6953,0.2967,441.6376,178.7408
2.0,5,25,RC,6,160,0.7417,0.2621,689.0371,225.896
3.0,5,10,C,1,170,0.8765,0.329,121.1828,56.1635
3.0,5,10,C,2,170,0.9676,0.123,261.5666,74.3164
3.0,5,10,C,3,170,0.9333,0.1473,374.609,73.989
3.0,5,10,R,1,230,0.7391,0.4391,90.8471,57.8089
3.0,5,10,R,2,230,0.7717,0.3347,215.5808,94.717
3.0,5,10,R,3,230,0.7246,0.3223,308.0971,123.5951
3.0,5,10,RC,1,160,0.7688,0.4216,172.6779,93.1575
3.0,5,10,RC,2,160,0.9,0.2,393.8257,90.0382
3.0,5,10,RC,3,160,0.8208,0.2201,546.6829,138.9066
3.0,5,15,C,1,170,0.8765,0.329,126.8434,65.6735
3.0,5,15,C,2,170,0.9118,0.2125,261.9564,104.2866
3.0,5,15,C,3,170,0.8941,0.1787,397.1037,122.1181
3.0,5,15,R,1,230,0.687,0.4637,101.2733,65.5206
3.0,5,15,R,2,230,0.6565,0.3893,220.5984,114.1131
3.0,5,15,R,3,230,0.5884,0.3607,253.4124,141.4453
3.0,5,15,RC,1,160,0.7375,0.44,158.7605,94.7308
3.0,5,15,RC,2,160,0.7438,0.3491,332.2587,152.8518
3.0,5,15,RC,3,160,0.7667,0.2759,514.1687,181.7646
3.0,5,25,C,2,170,0.8647,0.2699,304.2167,127.8489
3.0,5,25,C,4,170,0.8706,0.1698,569.8685,134.6492
3.0,5,25,C,6,170,0.8108,0.1887,717.3547,210.2061
3.0,5,25,R,2,230,0.6957,0.3501,241.717,116.2072
3.0,5,25,R,4,230,0.7022,0.2863,494.6673,172.5986
3.0,5,25,R,6,230,0.6768,0.2686,683.7402,216.3119
3.0,5,25,RC,2,160,0.7188,0.3477,330.1063,155.9579
3.0,5,25,RC,4,160,0.6953,0.2967,657.322,273.206
3.0,5,25,RC,6,160,0.7417,0.2621,1027.2814,344.8564
5.0,5,10,C,1,170,0.8765,0.329,200.0824,96.3026
5.0,5,10,C,2,170,0.9676,0.123,435.7616,124.232
5.0,5,10,C,3,170,0.9333,0.1473,622.7512,124.6814
5.0,5,10,R,1,230,0.7391,0.4391,149.679,98.5387
5.0,5,10,R,2,230,0.7717,0.3347,354.1543,164.63
5.0,5,10,R,3,230,0.7174,0.3243,504.0854,213.5177
5.0,5,10,RC,1,160,0.7688,0.4216,286.2685,157.7554
5.0,5,10,RC,2,160,0.9,0.2,655.5563,151.5971
5.0,5,10,RC,3,160,0.8208,0.2201,908.8334,233.8551
5.0,5,15,C,1,170,0.8765,0.329,209.5806,111.755
5.0,5,15,C,2,170,0.9118,0.2125,436.0922,174.6542
5.0,5,15,C,3,170,0.8941,0.1787,660.6237,204.34
5.0,5,15,R,1,230,0.6826,0.4655,165.4329,112.6471
5.0,5,15,R,2,230,0.65,0.396,355.4174,195.2539
5.0,5,15,R,3,230,0.587,0.3597,410.4056,242.5269
5.0,5,15,RC,1,160,0.7375,0.44,263.5263,159.5742
5.0,5,15,RC,2,160,0.7438,0.3491,551.0602,257.9017
5.0,5,15,RC,3,160,0.7667,0.2759,852.8181,307.284
5.0,5,25,C,2,170,0.8647,0.2699,505.6335,214.9008
5.0,5,25,C,4,170,0.8706,0.1698,947.6247,226.3287
5.0,5,25,C,6,170,0.8108,0.1887,1191.7204,353.3345
5.0,5,25,R,2,230,0.6957,0.3501,397.4536,196.0311
5.0,5,25,R,4,230,0.7,0.2868,809.165,300.2929
5.0,5,25,R,6,230,0.6761,0.2693,1118.9905,376.4604
5.0,5,25,RC,2,160,0.7188,0.3477,547.4296,262.1639
5.0,5,25,RC,4,160,0.6953,0.2967,1088.6909,462.3147
5.0,5,25,RC,6,160,0.7417,0.2621,1703.5651,583.213
