LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,2.0,10,C,1,170,0.8235,0.3812,19.6537,9.8114
0.5,2.0,10,C,2,170,0.9029,0.1978,41.9195,13.609
0.5,2.0,10,C,3,170,0.8922,0.2064,60.7436,14.2531
0.5,2.0,10,R,1,230,0.6087,0.488,14.4297,9.1868
0.5,2.0,10,R,2,230,0.5261,0.4214,30.3174,17.5809
0.5,2.0,10,R,3,230,0.5275,0.3869,43.3701,21.7712
0.5,2.0,10,RC,1,160,0.4813,0.4996,19.6464,16.8094
0.5,2.0,10,RC,2,160,0.6125,0.3951,47.8248,26.3058
0.5,2.0,10,RC,3,160,0.5167,0.3432,64.0542,32.6831
0.5,2.0,15,C,1,170,0.7118,0.4529,19.1161,11.6091
0.5,2.0,15,C,2,170,0.7618,0.3396,39.296,19.6753
0.5,2.0,15,C,3,170,0.7667,0.2774,60.5767,22.4719
0.5,2.0,15,R,1,230,0.4304,0.4951,13.1317,10.6308
0.5,2.0,15,R,2,230,0.5152,0.4206,30.642,19.0636
0.5,2.0,15,R,3,230,0.4406,0.3958,37.7136,23.0228
0.5,2.0,15,RC,1,160,0.375,0.4841,15.743,16.285
0.5,2.0,15,RC,2,160,0.4125,0.4241,34.1235,29.6065
0.5,2.0,15,RC,3,160,0.3583,0.3756,48.7269,36.2913
0.5,2.0,25,C,2,170,0.6235,0.3548,42.7218,19.9754
0.5,2.0,25,C,4,170,0.6338,0.2645,78.0931,25.5444
0.5,2.0,25,C,6,170,0.6196,0.2749,105.3471,39.2868
0.5,2.0,25,R,2,230,0.4804,0.4357,34.3092,20.4517
0.5,2.0,25,R,4,230,0.4228,0.3646,63.3502,35.6125
0.5,2.0,25,R,6,230,0.4362,0.3562,94.7858,43.9581
0.5,2.0,25,RC,2,160,0.3219,0.3927,31.177,27.2106
0.5,2.0,25,RC,4,160,0.3297,0.3393,65.3353,49.0596
0.5,2.0,25,RC,6,160,0.3458,0.3403,100.2604,71.4433
0.75,2.0,10,C,1,170,0.8,0.4,28.906,15.2172
0.75,2.0,10,C,2,170,0.8794,0.2207,62.0399,20.6455
0.75,2.0,10,C,3,170,0.849,0.24,89.7458,21.9653
0.75,2.0,10,R,1,230,0.5087,0.4999,20.0612,13.8238
0.75,2.0,10,R,2,230,0.4761,0.4176,41.732,26.8244
0.75,2.0,10,R,3,230,0.4493,0.3883,59.7371,34.2276
0.75,2.0,10,RC,1,160,0.425,0.4943,27.8402,25.3466
0.75,2.0,10,RC,2,160,0.5094,0.4164,68.6126,40.3556
0.75,2.0,10,RC,3,160,0.4292,0.3383,90.7509,49.9319
0.75,2.0,15,C,1,170,0.6706,0.47,27.3703,18.029
0.75,2.0,15,C,2,170,0.7,0.3694,56.8339,29.6931
0.75,2.0,15,C,3,170,0.6922,0.3214,86.9031,34.7942
0.75,2.0,15,R,1,230,0.3696,0.4827,17.6838,15.7071
0.75,2.0,15,R,2,230,0.4,0.4232,41.9659,28.6369
0.75,2.0,15,R,3,230,0.3478,0.3855,50.8923,35.4018
0.75,2.0,15,RC,1,160,0.3063,0.4609,21.9022,24.3646
0.75,2.0,15,RC,2,160,0.3281,0.3994,47.4157,43.6223
0.75,2.0,15,RC,3,160,0.3021,0.3492,66.7204,55.4876
0.75,2.0,25,C,2,170,0.5147,0.3889,59.8006,30.382
0.75,2.0,25,C,4,170,0.5618,0.2749,108.8626,38.3544
0.75,2.0,25,C,6,170,0.5549,0.2828,149.2639,61.5126
0.75,2.0,25,R,2,230,0.4239,0.4345,46.5211,31.3226
0.75,2.0,25,R,4,230,0.3489,0.3593,84.1793,54.3462
0.75,2.0,25,R,6,230,0.3667,0.3442,125.6858,69.3378
0.75,2.0,25,RC,2,160,0.2687,0.3703,42.3584,40.7018
0.75,2.0,25,RC,4,160,0.2891,0.3242,89.115,74.1409
0.75,2.0,25,RC,6,160,0.3062,0.3369,136.884,109.2321
1.0,2.0,10,C,1,170,0.8,0.4,38.0621,20.745
1.0,2.0,10,C,2,170,0.8706,0.2256,81.7259,27.8739
1.0,2.0,10,C,3,170,0.8412,0.2431,117.8135,30.0967
1.0,2.0,10,R,1,230,0.4609,0.4985,24.7192,18.2049
1.0,2.0,10,R,2,230,0.4152,0.4253,51.8133,36.0594
1.0,2.0,10,R,3,230,0.4087,0.3871,74.1237,46.6485
1.0,2.0,10,RC,1,160,0.425,0.4943,35.4866,33.7345
1.0,2.0,10,RC,2,160,0.5031,0.4202,87.1446,54.2616
1.0,2.0,10,RC,3,160,0.4208,0.3426,114.4677,66.9956
1.0,2.0,15,C,1,170,0.6471,0.4779,35.2429,24.3181
1.0,2.0,15,C,2,170,0.6941,0.3725,73.735,39.6555
1.0,2.0,15,C,3,170,0.6804,0.3159,111.9283,47.5438
1.0,2.0,15,R,1,230,0.313,0.4637,21.6037,20.5533
1.0,2.0,15,R,2,230,0.3413,0.422,51.1651,38.2201
1.0,2.0,15,R,3,230,0.3101,0.3644,61.847,47.2851
1.0,2.0,15,RC,1,160,0.2938,0.4555,27.3109,31.9268
1.0,2.0,15,RC,2,160,0.3219,0.3967,59.3793,57.118
1.0,2.0,15,RC,3,160,0.2958,0.3415,83.4475,74.0916
1.0,2.0,25,C,2,170,0.5029,0.3892,74.7109,40.8434
1.0,2.0,25,C,4,170,0.5397,0.2689,137.8046,51.3754
1.0,2.0,25,C,6,170,0.5461,0.2801,191.0952,83.6409
1.0,2.0,25,R,2,230,0.3674,0.4155,57.3803,42.1167
1.0,2.0,25,R,4,230,0.2935,0.3383,102.065,73.1339
1.0,2.0,25,R,6,230,0.3268,0.3276,152.7107,94.029
1.0,2.0,25,RC,2,160,0.2687,0.3703,52.6564,53.8949
1.0,2.0,25,RC,4,160,0.2844,0.3241,111.3474,98.8422
1.0,2.0,25,RC,6,160,0.3052,0.3371,171.8042,147.0823
1.5,2.0,10,C,1,170,0.7941,0.4043,56.2733,31.9328
1.5,2.0,10,C,2,170,0.8676,0.2272,120.9558,42.7782
1.5,2.0,10,C,3,170,0.8353,0.2432,173.3065,47.0372
1.5,2.0,10,R,1,230,0.4522,0.4977,33.6696,27.7827
1.5,2.0,10,R,2,230,0.4087,0.4277,70.5953,55.2726
1.5,2.0,10,R,3,230,0.4044,0.3898,101.3366,72.3076
1.5,2.0,10,RC,1,160,0.4188,0.4934,50.6999,51.1179
1.5,2.0,10,RC,2,160,0.4844,0.4273,123.3028,83.7771
1.5,2.0,10,RC,3,160,0.4083,0.3394,160.8656,102.3401
1.5,2.0,15,C,1,170,0.6471,0.4779,50.5876,37.2977
1.5,2.0,15,C,2,170,0.6941,0.3725,107.4937,60.3312
1.5,2.0,15,C,3,170,0.6804,0.3159,161.7014,73.8975
1.5,2.0,15,R,1,230,0.313,0.4637,28.8736,30.5559
1.5,2.0,15,R,2,230,0.337,0.4229,67.6566,57.9149
1.5,2.0,15,R,3,230,0.3101,0.3644,82.2719,71.1223
1.5,2.0,15,RC,1,160,0.2938,0.4555,37.8835,47.6434
1.5,2.0,15,RC,2,160,0.3125,0.3982,82.5658,84.6364
1.5,2.0,15,RC,3,160,0.2917,0.339,115.9764,110.8082
1.5,2.0,25,C,2,170,0.5029,0.3892,104.1817,63.2655
1.5,2.0,25,C,4,170,0.5397,0.2689,194.3679,78.7948
1.5,2.0,25,C,6,170,0.5431,0.2796,273.9428,128.1384
1.5,2.0,25,R,2,230,0.3565,0.4158,77.0465,63.5251
1.5,2.0,25,R,4,230,0.2891,0.338,134.5537,109.8477
