instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C101,30,C,2,0,OPTIMAL,282.335,2,1,1,0,1,0.5,254.3812,0.0,27.9538,90,3.0,2.0,1.0
030_C101,30,C,2,1,OPTIMAL,67.8628,2,0,0,0,2,0.0,0.0,0.0,67.8628,90,3.0,2.0,1.0
030_C101,30,C,2,2,OPTIMAL,248.8596,2,1,1,0,1,0.5,220.9257,0.0,27.9338,90,3.0,2.0,1.0
030_C101,30,C,2,3,OPTIMAL,232.0742,2,1,1,0,1,0.5,224.4336,0.0,7.6407,90,3.0,2.0,1.0
030_C101,30,C,2,4,OPTIMAL,123.6928,2,1,1,0,1,0.5,109.9668,0.0,13.7261,90,3.0,2.0,1.0
030_C101,30,C,2,5,OPTIMAL,10.9306,2,0,0,0,2,0.0,0.0,0.0,10.9306,90,3.0,2.0,1.0
030_C101,30,C,2,6,OPTIMAL,259.2046,2,1,1,0,1,0.5,257.8814,0.0,1.3232,90,3.0,2.0,1.0
030_C101,30,C,2,7,OPTIMAL,6.1548,2,0,0,0,2,0.0,0.0,0.0,6.1548,90,3.0,2.0,1.0
030_C101,30,C,2,8,OPTIMAL,243.6295,2,1,1,0,1,0.5,239.1485,0.0,4.481,90,3.0,2.0,1.0
030_C101,30,C,2,9,OPTIMAL,17.2274,2,0,0,0,2,0.0,0.0,0.0,17.2274,90,3.0,2.0,1.0
030_C101,30,C,4,0,OPTIMAL,265.9007,4,2,2,0,2,0.5,261.7068,0.0,4.1938,90,3.0,2.0,1.0
030_C101,30,C,4,1,OPTIMAL,283.071,4,1,1,0,3,0.25,249.6182,0.0,33.4528,90,3.0,2.0,1.0
030_C101,30,C,4,2,OPTIMAL,255.7306,4,1,1,0,3,0.25,238.619,0.0,17.1116,90,3.0,2.0,1.0
030_C101,30,C,4,3,OPTIMAL,7.6028,4,0,0,0,4,0.0,0.0,0.0,7.6028,90,3.0,2.0,1.0
030_C101,30,C,4,4,OPTIMAL,39.0222,4,0,0,0,4,0.0,0.0,0.0,39.0222,90,3.0,2.0,1.0
030_C101,30,C,4,5,OPTIMAL,585.4698,4,3,3,0,1,0.75,571.9504,0.0,13.5194,90,3.0,2.0,1.0
030_C101,30,C,4,6,OPTIMAL,523.0001,4,2,2,0,2,0.5,443.7751,0.0,79.225,90,3.0,2.0,1.0
