LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,10,10,C,1,170,0.8647,0.342,20.1874,9.2697
0.5,10,10,C,2,170,0.9441,0.1575,43.2035,12.8006
0.5,10,10,C,3,170,0.9353,0.1629,62.8212,11.9549
0.5,10,10,R,1,230,0.7261,0.446,16.0158,8.4393
0.5,10,10,R,2,230,0.6891,0.3522,35.6339,15.1593
0.5,10,10,R,3,230,0.6899,0.3131,52.4138,18.4057
0.5,10,10,RC,1,160,0.6062,0.4886,24.8238,15.2984
0.5,10,10,RC,2,160,0.8094,0.2843,61.0929,18.1163
0.5,10,10,RC,3,160,0.6875,0.2781,81.4209,26.1554
0.5,10,15,C,1,170,0.8,0.4,20.3948,10.9422
0.5,10,15,C,2,170,0.8559,0.2626,42.3763,17.9046
0.5,10,15,C,3,170,0.8529,0.2227,64.8167,21.4778
0.5,10,15,R,1,230,0.6043,0.489,17.3324,10.1713
0.5,10,15,R,2,230,0.6761,0.388,39.6144,17.7729
0.5,10,15,R,3,230,0.5797,0.356,47.4439,21.2516
0.5,10,15,RC,1,160,0.55,0.4975,22.1652,16.1668
0.5,10,15,RC,2,160,0.5437,0.4085,45.0944,26.8809
0.5,10,15,RC,3,160,0.5396,0.331,68.1929,32.1198
0.5,10,25,C,2,170,0.7765,0.3163,48.7784,20.374
0.5,10,25,C,4,170,0.7618,0.2149,89.6374,21.5627
0.5,10,25,C,6,170,0.7529,0.2365,118.7303,34.9489
0.5,10,25,R,2,230,0.6152,0.4048,40.2678,18.9161
0.5,10,25,R,4,230,0.6087,0.3307,81.4667,27.875
0.5,10,25,R,6,230,0.6094,0.3025,117.6528,33.4259
0.5,10,25,RC,2,160,0.4906,0.4049,43.8945,26.9348
0.5,10,25,RC,4,160,0.5031,0.3502,90.4366,48.2157
0.5,10,25,RC,6,160,0.5156,0.3465,136.1771,66.7969
0.75,10,10,C,1,170,0.8471,0.3599,29.8573,14.3869
0.75,10,10,C,2,170,0.9412,0.1611,64.5362,19.5277
0.75,10,10,C,3,170,0.9078,0.1808,93.3848,18.288
0.75,10,10,R,1,230,0.7087,0.4544,23.0457,13.1306
