instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
010_C101,10,C,1,0,OPTIMAL,6.4458,1,0,0,0,1,0.0,0.0,0.0,6.4458,120,0.5,2.0,1.0
010_C101,10,C,1,1,OPTIMAL,2.8206,1,0,0,0,1,0.0,0.0,0.0,2.8206,120,0.5,2.0,1.0
010_C101,10,C,1,2,OPTIMAL,7.8471,1,0,0,0,1,0.0,0.0,0.0,7.8471,120,0.5,2.0,1.0
010_C101,10,C,1,3,OPTIMAL,28.8461,1,1,0,1,0,1.0,28.8461,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,1,4,OPTIMAL,30.4527,1,1,1,0,0,1.0,30.4527,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,1,5,OPTIMAL,36.7772,1,1,1,0,0,1.0,36.7772,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,1,6,OPTIMAL,8.7068,1,1,1,0,0,1.0,8.7068,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,1,7,OPTIMAL,18.7392,1,1,1,0,0,1.0,18.7392,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,1,8,OPTIMAL,5.5276,1,0,0,0,1,0.0,0.0,0.0,5.5276,120,0.5,2.0,1.0
010_C101,10,C,1,9,OPTIMAL,16.0223,1,1,1,0,0,1.0,16.0223,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,2,0,OPTIMAL,60.6158,2,2,1,1,0,1.0,60.6158,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,2,1,OPTIMAL,57.703,2,2,2,0,0,1.0,57.703,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,2,2,OPTIMAL,37.5672,2,2,2,0,0,1.0,37.5672,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,2,3,OPTIMAL,13.3081,2,1,1,0,1,0.5,12.1366,0.0,1.1714,120,0.5,2.0,1.0
010_C101,10,C,2,4,OPTIMAL,48.0265,2,2,2,0,0,1.0,48.0265,0.0,0.0,120,0.5,2.0,1.0
010_C101,10,C,2,5,OPTIMAL,21.568,2,1,1,0,1,0.5,15.937,0.0,5.631,120,0.5,2.0,1.0
010_C101,10,C,2,6,OPTIMAL,55.4842,2,2,2,0,0,1.0,55.4842,0.0,0.0,120,0.5,2.0,1.0
