LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
1.5,0.5,10,RC,1,160,0.7688,0.4216,87.4849,44.8468
1.5,0.5,10,RC,2,160,0.9,0.2,197.5277,43.9081
1.5,0.5,10,RC,3,160,0.8208,0.2201,274.8009,67.8855
1.5,0.5,15,C,1,170,0.8824,0.3222,64.7727,31.8114
1.5,0.5,15,C,2,170,0.9118,0.2125,131.3545,51.525
1.5,0.5,15,C,3,170,0.8961,0.178,199.257,60.535
1.5,0.5,15,R,1,230,0.6913,0.462,52.7521,30.7871
1.5,0.5,15,R,2,230,0.6565,0.3893,114.9092,54.2513
1.5,0.5,15,R,3,230,0.5899,0.3563,134.6054,66.3322
1.5,0.5,15,RC,1,160,0.7375,0.44,80.1861,46.1305
1.5,0.5,15,RC,2,160,0.7438,0.3491,167.8971,74.3012
1.5,0.5,15,RC,3,160,0.7667,0.2759,259.9814,87.9973
1.5,0.5,25,C,2,170,0.8647,0.2699,153.1541,62.6118
1.5,0.5,25,C,4,170,0.8706,0.1698,286.5513,65.9485
1.5,0.5,25,C,6,170,0.8108,0.1887,361.5805,102.9118
1.5,0.5,25,R,2,230,0.7,0.3508,123.9983,55.9604
1.5,0.5,25,R,4,230,0.7087,0.2844,257.2995,78.8447
1.5,0.5,25,R,6,230,0.6812,0.2656,354.4521,99.5281
1.5,0.5,25,RC,2,160,0.7188,0.3477,166.9123,76.4516
1.5,0.5,25,RC,4,160,0.6953,0.2967,333.3577,132.2584
1.5,0.5,25,RC,6,160,0.7417,0.2621,519.7136,166.6124
2.0,0.5,10,C,1,170,0.8941,0.3077,81.3733,36.6187
2.0,0.5,10,C,2,170,0.9676,0.123,174.4691,49.3648
2.0,0.5,10,C,3,170,0.9353,0.1459,250.5293,48.8038
2.0,0.5,10,R,1,230,0.7391,0.4391,61.4312,37.5396
2.0,0.5,10,R,2,230,0.7761,0.3278,145.9717,60.2279
2.0,0.5,10,R,3,230,0.729,0.3192,208.7828,79.6251
2.0,0.5,10,RC,1,160,0.7688,0.4216,115.8826,60.9164
2.0,0.5,10,RC,2,160,0.9,0.2,262.9604,59.2753
2.0,0.5,10,RC,3,160,0.8208,0.2201,365.3385,91.583
2.0,0.5,15,C,1,170,0.8765,0.329,85.4747,42.929
2.0,0.5,15,C,2,170,0.9118,0.2125,174.8885,69.1088
2.0,0.5,15,C,3,170,0.8961,0.178,265.2879,81.0839
2.0,0.5,15,R,1,230,0.687,0.4637,68.865,42.26
2.0,0.5,15,R,2,230,0.65,0.396,148.5494,73.8261
2.0,0.5,15,R,3,230,0.5884,0.358,173.954,91.0394
2.0,0.5,15,RC,1,160,0.7375,0.44,106.3776,62.3227
2.0,0.5,15,RC,2,160,0.7438,0.3491,222.5975,100.4795
2.0,0.5,15,RC,3,160,0.7667,0.2759,344.6438,119.2794
2.0,0.5,25,C,2,170,0.8647,0.2699,203.5083,84.3449
2.0,0.5,25,C,4,170,0.8706,0.1698,380.9903,88.8345
2.0,0.5,25,C,6,170,0.8108,0.1887,480.1719,138.6639
2.0,0.5,25,R,2,230,0.6957,0.3501,163.0948,75.8544
2.0,0.5,25,R,4,230,0.7011,0.2856,336.3184,110.038
2.0,0.5,25,R,6,230,0.6768,0.269,463.5007,138.8969
2.0,0.5,25,RC,2,160,0.7188,0.3477,221.2431,102.9358
2.0,0.5,25,RC,4,160,0.6953,0.2967,441.1999,179.4424
2.0,0.5,25,RC,6,160,0.7417,0.2621,688.8608,226.0028
3.0,0.5,10,C,1,170,0.8765,0.329,121.1828,56.1635
3.0,0.5,10,C,2,170,0.9676,0.123,261.5666,74.3164
3.0,0.5,10,C,3,170,0.9333,0.1473,374.609,73.989
3.0,0.5,10,R,1,230,0.7391,0.4391,90.8471,57.8089
3.0,0.5,10,R,2,230,0.7717,0.3347,215.3907,94.8014
3.0,0.5,10,R,3,230,0.7188,0.3233,307.1521,123.9941
3.0,0.5,10,RC,1,160,0.7688,0.4216,172.6779,93.1575
3.0,0.5,10,RC,2,160,0.9,0.2,393.8257,90.0382
3.0,0.5,10,RC,3,160,0.8208,0.2201,546.4137,139.0454
3.0,0.5,15,C,1,170,0.8765,0.329,126.8434,65.6735
3.0,0.5,15,C,2,170,0.9118,0.2125,261.9564,104.2866
3.0,0.5,15,C,3,170,0.8941,0.1787,397.1037,122.1181
3.0,0.5,15,R,1,230,0.6826,0.4655,100.9902,65.606
3.0,0.5,15,R,2,230,0.65,0.396,215.3249,114.7526
3.0,0.5,15,R,3,230,0.5855,0.3601,252.3962,141.3189
3.0,0.5,15,RC,1,160,0.7375,0.44,158.7605,94.7308
3.0,0.5,15,RC,2,160,0.7438,0.3491,331.9982,152.9573
3.0,0.5,15,RC,3,160,0.7667,0.2759,513.9686,181.9751
3.0,0.5,25,C,2,170,0.8647,0.2699,304.2167,127.8489
3.0,0.5,25,C,4,170,0.8706,0.1698,569.8685,134.6492
3.0,0.5,25,C,6,170,0.8108,0.1887,717.3547,210.2061
3.0,0.5,25,R,2,230,0.6957,0.3501,240.9631,115.647
3.0,0.5,25,R,4,230,0.7,0.2868,493.435,173.4982
3.0,0.5,25,R,6,230,0.6754,0.2695,680.9995,218.703
3.0,0.5,25,RC,2,160,0.7188,0.3477,329.9047,156.0006
3.0,0.5,25,RC,4,160,0.6953,0.2967,656.8843,273.9359
3.0,0.5,25,RC,6,160,0.7417,0.2621,1027.1051,344.9781
5.0,0.5,10,C,1,170,0.8765,0.329,200.0824,96.3026
5.0,0.5,10,C,2,170,0.9676,0.123,435.7616,124.232
5.0,0.5,10,C,3,170,0.9333,0.1473,622.7512,124.6814
5.0,0.5,10,R,1,230,0.7391,0.4391,149.679,98.5387
5.0,0.5,10,R,2,230,0.7717,0.3347,353.9642,164.7477
5.0,0.5,10,R,3,230,0.7174,0.3243,502.7974,214.2689
5.0,0.5,10,RC,1,160,0.7688,0.4216,286.2685,157.7554
5.0,0.5,10,RC,2,160,0.9,0.2,655.5563,151.5971
5.0,0.5,10,RC,3,160,0.8208,0.2201,908.5641,234.0483
5.0,0.5,15,C,1,170,0.8765,0.329,209.5806,111.755
5.0,0.5,15,C,2,170,0.9118,0.2125,436.0922,174.6542
5.0,0.5,15,C,3,170,0.8941,0.1787,660.6237,204.34
5.0,0.5,15,R,1,230,0.6826,0.4655,165.0254,112.8931
5.0,0.5,15,R,2,230,0.65,0.396,348.876,198.8249
5.0,0.5,15,R,3,230,0.5855,0.3601,409.1245,242.7124
5.0,0.5,15,RC,1,160,0.7375,0.44,263.5263,159.5742
5.0,0.5,15,RC,2,160,0.7438,0.3491,550.7997,258.0526
5.0,0.5,15,RC,3,160,0.7667,0.2759,852.618,307.517
5.0,0.5,25,C,2,170,0.8647,0.2699,505.6335,214.9008
5.0,0.5,25,C,4,170,0.8706,0.1698,947.6247,226.3287
5.0,0.5,25,C,6,170,0.8108,0.1887,1191.7204,353.3345
5.0,0.5,25,R,2,230,0.6957,0.3501,396.6996,195.7935
5.0,0.5,25,R,4,230,0.7,0.2868,807.6628,301.5056
5.0,0.5,25,R,6,230,0.6754,0.2695,1115.8354,379.4496
5.0,0.5,25,RC,2,160,0.7188,0.3477,547.228,262.2427
5.0,0.5,25,RC,4,160,0.6953,0.2967,1088.2531,463.0663
5.0,0.5,25,RC,6,160,0.7417,0.2621,1703.3888,583.3461
