LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,2.0,30,C,2,130,0.7346,0.3234,42.8537,16.8231
0.5,2.0,30,C,4,130,0.7673,0.2579,84.7268,26.8531
0.5,2.0,30,C,6,130,0.7769,0.1901,129.6313,27.4784
0.5,2.0,30,R,2,120,0.6042,0.3221,44.6566,22.0486
0.5,2.0,30,R,4,120,0.6104,0.2432,92.823,26.1453
0.5,2.0,30,R,6,120,0.5722,0.2354,134.6223,46.3835
0.5,2.0,30,RC,2,80,0.7438,0.3061,66.0753,19.5031
0.5,2.0,30,RC,4,80,0.8156,0.1711,140.4038,27.553
0.5,2.0,30,RC,6,80,0.8021,0.1493,213.7932,36.2832
0.5,2.0,35,C,3,110,0.8485,0.232,70.2046,21.7892
0.5,2.0,35,C,6,110,0.7818,0.1822,139.3602,26.9335
0.5,2.0,35,C,9,110,0.7727,0.1717,202.2792,40.6888
0.5,2.0,35,R,3,90,0.5,0.2733,58.717,23.2111
0.5,2.0,35,R,6,90,0.5815,0.183,127.954,26.5625
0.5,2.0,35,R,9,90,0.5432,0.2079,173.8725,50.0459
0.5,2.0,35,RC,3,10,0.8334,0.1667,106.8687,17.3488
0.5,2.0,35,RC,6,10,0.7667,0.1333,194.7914,24.8594
0.5,2.0,35,RC,9,10,0.7889,0.0923,307.5359,41.2208
0.75,2.0,30,C,2,130,0.6923,0.3419,61.5958,26.1311
0.75,2.0,30,C,4,130,0.7173,0.2849,123.0331,42.0469
0.75,2.0,30,C,6,130,0.7269,0.2236,188.3762,43.7987
0.75,2.0,30,R,2,120,0.5375,0.3302,64.6329,33.1401
0.75,2.0,30,R,4,120,0.5333,0.2581,130.8,41.0703
0.75,2.0,30,R,6,120,0.5083,0.2286,190.2465,69.2266
0.75,2.0,30,RC,2,80,0.7312,0.3056,95.6493,31.8546
0.75,2.0,30,RC,4,80,0.8,0.1785,207.8457,42.2852
0.75,2.0,30,RC,6,80,0.7979,0.1483,314.3345,55.8674
0.75,2.0,35,C,3,110,0.7606,0.2883,101.656,34.6104
0.75,2.0,35,C,6,110,0.7379,0.2077,202.0478,43.8321
0.75,2.0,35,C,9,110,0.7273,0.1991,293.8482,66.5982
0.75,2.0,35,R,3,90,0.4185,0.2747,80.4345,34.8601
0.75,2.0,35,R,6,90,0.5333,0.1743,183.3063,39.3206
0.75,2.0,35,R,9,90,0.4827,0.2043,246.2646,76.8401
0.75,2.0,35,RC,3,10,0.8334,0.1667,159.0988,27.1497
0.75,2.0,35,RC,6,10,0.7667,0.1333,288.8059,40.1205
0.75,2.0,35,RC,9,10,0.7889,0.0923,457.4457,62.2332
1.0,2.0,30,C,2,130,0.6846,0.3461,79.5955,35.8908
1.0,2.0,30,C,4,130,0.6923,0.2967,159.8827,58.1915
1.0,2.0,30,C,6,130,0.7051,0.2164,245.1905,60.9678
1.0,2.0,30,R,2,120,0.4708,0.3611,82.5577,44.5936
1.0,2.0,30,R,4,120,0.4875,0.2599,165.5676,56.6467
1.0,2.0,30,R,6,120,0.4708,0.2324,241.529,92.5885
1.0,2.0,30,RC,2,80,0.7063,0.3325,124.4744,44.9954
1.0,2.0,30,RC,4,80,0.7969,0.1815,274.7245,57.7102
1.0,2.0,30,RC,6,80,0.7896,0.1531,413.8438,75.6715
1.0,2.0,35,C,3,110,0.7182,0.2954,131.2981,47.6932
1.0,2.0,35,C,6,110,0.7151,0.2088,262.657,61.6803
1.0,2.0,35,C,9,110,0.699,0.2188,381.5885,95.2108
1.0,2.0,35,R,3,90,0.3667,0.2724,99.2423,46.422
1.0,2.0,35,R,6,90,0.4722,0.1813,233.972,52.169
1.0,2.0,35,R,9,90,0.4148,0.2027,309.9631,102.9033
1.0,2.0,35,RC,3,10,0.8334,0.1667,211.329,37.0039
1.0,2.0,35,RC,6,10,0.7667,0.1333,382.8203,55.6069
1.0,2.0,35,RC,9,10,0.7889,0.0923,607.3556,83.3083
1.5,2.0,30,C,2,130,0.6846,0.3461,115.4719,56.2833
1.5,2.0,30,C,4,130,0.6846,0.3031,232.1089,91.6592
1.5,2.0,30,C,6,130,0.7026,0.2178,356.8176,95.5348
1.5,2.0,30,R,2,120,0.4333,0.376,115.6388,69.9298
1.5,2.0,30,R,4,120,0.4542,0.2757,230.6485,89.36
1.5,2.0,30,R,6,120,0.4375,0.2444,337.7574,141.1235
1.5,2.0,30,RC,2,80,0.7063,0.3325,181.3239,72.5783
1.5,2.0,30,RC,4,80,0.7969,0.1815,408.4268,89.0346
1.5,2.0,30,RC,6,80,0.7896,0.1531,611.9565,116.7317
1.5,2.0,35,C,3,110,0.7121,0.2964,187.9112,73.9136
1.5,2.0,35,C,6,110,0.7121,0.2107,382.152,98.0762
1.5,2.0,35,C,9,110,0.696,0.22,554.099,155.1375
1.5,2.0,35,R,3,90,0.3518,0.2738,134.1747,69.8091
1.5,2.0,35,R,6,90,0.4389,0.1995,326.7003,81.1655
1.5,2.0,35,R,9,90,0.3864,0.2077,426.4038,157.1825
1.5,2.0,35,RC,3,10,0.8334,0.1667,315.7894,56.7612
1.5,2.0,35,RC,6,10,0.7667,0.1333,570.8492,86.7728
1.5,2.0,35,RC,9,10,0.7889,0.0923,907.159,125.5458
2.0,2.0,30,C,2,130,0.6846,0.3461,151.3483,77.0316
2.0,2.0,30,C,4,130,0.6827,0.3019,303.9136,125.8723
2.0,2.0,30,C,6,130,0.7026,0.2178,468.225,130.6443
2.0,2.0,30,R,2,120,0.4083,0.3707,147.344,96.8465
2.0,2.0,30,R,4,120,0.4208,0.2922,291.7466,124.8411
2.0,2.0,30,R,6,120,0.4139,0.2491,429.4324,190.8291
2.0,2.0,30,RC,2,80,0.7063,0.3325,238.1518,100.5517
2.0,2.0,30,RC,4,80,0.7969,0.1815,542.129,120.561
2.0,2.0,30,RC,6,80,0.7896,0.1531,810.0537,158.1682
2.0,2.0,35,C,3,110,0.7091,0.2951,244.252,100.8692
2.0,2.0,35,C,6,110,0.7076,0.2098,501.2502,135.0089
2.0,2.0,35,C,9,110,0.695,0.2214,726.1592,215.6188
2.0,2.0,35,R,3,90,0.337,0.2789,167.3226,94.7549
2.0,2.0,35,R,6,90,0.413,0.2067,414.4449,113.4242
2.0,2.0,35,R,9,90,0.3605,0.2174,535.761,213.0571
2.0,2.0,35,RC,3,10,0.8334,0.1667,420.2498,76.5415
2.0,2.0,35,RC,6,10,0.7667,0.1333,758.7025,118.0839
2.0,2.0,35,RC,9,10,0.7889,0.0923,1206.3047,168.849
3.0,2.0,30,C,2,130,0.6846,0.3461,223.1011,118.8497
3.0,2.0,30,C,4,130,0.6827,0.3019,447.484,194.7697
3.0,2.0,30,C,6,130,0.7026,0.2178,691.0397,201.4289
3.0,2.0,30,R,2,120,0.4,0.3629,208.8644,150.8514
3.0,2.0,30,R,4,120,0.3792,0.3095,402.7557,199.4195
3.0,2.0,30,R,6,120,0.3792,0.2573,599.6644,291.4254
3.0,2.0,30,RC,2,80,0.7063,0.3325,351.7582,156.8569
3.0,2.0,30,RC,4,80,0.7969,0.1815,809.5336,183.8042
3.0,2.0,30,RC,6,80,0.7896,0.1531,1206.1699,241.4429
3.0,2.0,35,C,3,110,0.7061,0.2938,356.4426,155.4317
3.0,2.0,35,C,6,110,0.7076,0.2098,738.9925,209.2885
3.0,2.0,35,C,9,110,0.695,0.2214,1070.1114,337.302
3.0,2.0,35,R,3,90,0.3,0.2942,227.3845,146.8779
3.0,2.0,35,R,6,90,0.3852,0.2245,577.5048,184.9614
3.0,2.0,35,R,9,90,0.342,0.2205,742.2116,328.3922
3.0,2.0,35,RC,3,10,0.8334,0.1667,629.1706,116.1244
3.0,2.0,35,RC,6,10,0.7667,0.1333,1133.4306,181.1264
3.0,2.0,35,RC,9,10,0.7889,0.0923,1804.5962,255.5045
5.0,2.0,30,C,2,130,0.6846,0.3461,366.6067,202.8422
5.0,2.0,30,C,4,130,0.6827,0.3019,734.6247,333.1029
5.0,2.0,30,C,6,130,0.7026,0.2178,1136.6692,343.6267
5.0,2.0,30,R,2,120,0.3958,0.3646,329.3491,258.9786
5.0,2.0,30,R,4,120,0.3708,0.3112,611.3941,357.3668
5.0,2.0,30,R,6,120,0.3653,0.2585,920.6195,496.9376
5.0,2.0,30,RC,2,80,0.7063,0.3325,578.9708,269.8157
5.0,2.0,30,RC,4,80,0.7969,0.1815,1344.3282,310.5191
5.0,2.0,30,RC,6,80,0.7896,0.1531,1998.3784,408.4308
5.0,2.0,35,C,3,110,0.7061,0.2938,579.9279,265.7074
5.0,2.0,35,C,6,110,0.7076,0.2098,1214.4771,358.5496
5.0,2.0,35,C,9,110,0.695,0.2214,1757.93,581.1664
5.0,2.0,35,R,3,90,0.263,0.3043,331.7574,255.8737
5.0,2.0,35,R,6,90,0.3704,0.2354,887.729,341.6038
5.0,2.0,35,R,9,90,0.3185,0.2373,1130.8722,572.7469
5.0,2.0,35,RC,3,10,0.8334,0.1667,1047.0121,195.3156
5.0,2.0,35,RC,6,10,0.7667,0.1333,1882.8866,307.3361
5.0,2.0,35,RC,9,10,0.7889,0.0923,3001.1791,428.8729
