LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,2.0,30,C,2,130,0.8231,0.2693,45.8694,16.6436
0.5,2.0,30,C,4,130,0.8769,0.1892,91.1387,22.8956
0.5,2.0,30,C,6,130,0.8782,0.1444,140.3643,22.3616
0.5,2.0,30,R,2,120,0.7333,0.3158,49.6065,21.037
0.5,2.0,30,R,4,120,0.8458,0.1683,112.5137,19.1443
0.5,2.0,30,R,6,120,0.8,0.1743,161.0478,37.5501
0.5,2.0,30,RC,2,80,0.9563,0.1413,75.8949,12.1584
0.5,2.0,30,RC,4,80,0.975,0.075,158.6659,16.9791
0.5,2.0,30,RC,6,80,0.9729,0.081,239.0844,24.0357
0.5,2.0,35,C,3,110,0.9212,0.1677,72.9554,20.3162
0.5,2.0,35,C,6,110,0.8636,0.146,146.2001,25.3049
0.5,2.0,35,C,9,110,0.8707,0.1258,217.4715,35.0192
0.5,2.0,35,R,3,90,0.7556,0.232,72.1653,18.9736
0.5,2.0,35,R,6,90,0.7685,0.1786,148.696,23.3145
0.5,2.0,35,R,9,90,0.758,0.1742,209.7305,43.8047
0.5,2.0,35,RC,3,10,1.0,0.0,121.5356,8.6844
0.5,2.0,35,RC,6,10,1.0,0.0,233.9568,12.1532
0.5,2.0,35,RC,9,10,1.0,0.0,364.8077,18.7012
0.75,2.0,30,C,2,130,0.8077,0.2868,67.312,26.0217
0.75,2.0,30,C,4,130,0.8538,0.198,134.9573,35.5429
0.75,2.0,30,C,6,130,0.8538,0.1588,207.7512,35.083
0.75,2.0,30,R,2,120,0.7208,0.3149,73.7236,31.9829
0.75,2.0,30,R,4,120,0.8208,0.1713,166.9549,29.7623
0.75,2.0,30,R,6,120,0.7833,0.1782,239.2106,57.3489
0.75,2.0,30,RC,2,80,0.9563,0.1413,113.4697,19.152
0.75,2.0,30,RC,4,80,0.975,0.075,237.7331,25.9734
0.75,2.0,30,RC,6,80,0.9729,0.081,358.1504,36.7536
0.75,2.0,35,C,3,110,0.8758,0.2149,107.7094,31.7352
0.75,2.0,35,C,6,110,0.8439,0.1625,215.8922,39.7399
0.75,2.0,35,C,9,110,0.8455,0.1422,321.4397,55.7495
0.75,2.0,35,R,3,90,0.7333,0.2341,106.058,29.7139
