instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C101,30,C,2,0,OPTIMAL,257.1844,2,2,2,0,0,1.0,257.1844,0.0,0.0,60,2.0,2.0,1.0
030_C101,30,C,2,1,OPTIMAL,296.4235,2,2,2,0,0,1.0,296.4235,0.0,0.0,60,2.0,2.0,1.0
030_C101,30,C,2,2,OPTIMAL,266.1615,2,2,2,0,0,1.0,266.1615,0.0,0.0,60,2.0,2.0,1.0
030_C101,30,C,2,3,OPTIMAL,157.263,2,1,1,0,1,0.5,149.6224,0.0,7.6407,60,2.0,2.0,1.0
030_C101,30,C,2,4,OPTIMAL,87.0373,2,1,1,0,1,0.5,73.3112,0.0,13.7261,60,2.0,2.0,1.0
030_C101,30,C,2,5,OPTIMAL,163.4683,2,1,1,0,1,0.5,157.7524,0.0,5.7159,60,2.0,2.0,1.0
030_C101,30,C,2,6,OPTIMAL,185.6329,2,1,1,0,1,0.5,171.921,0.0,13.712,60,2.0,2.0,1.0
030_C101,30,C,2,7,OPTIMAL,79.4758,2,1,1,0,1,0.5,79.23,0.0,0.2459,60,2.0,2.0,1.0
030_C101,30,C,2,8,OPTIMAL,163.9133,2,1,1,0,1,0.5,159.4324,0.0,4.481,60,2.0,2.0,1.0
030_C101,30,C,2,9,OPTIMAL,17.2274,2,0,0,0,2,0.0,0.0,0.0,17.2274,60,2.0,2.0,1.0
030_C101,30,C,4,0,OPTIMAL,245.1702,4,3,3,0,1,0.75,242.5436,0.0,2.6267,60,2.0,2.0,1.0
030_C101,30,C,4,1,OPTIMAL,248.4705,4,2,2,0,2,0.5,243.7012,0.0,4.7694,60,2.0,2.0,1.0
030_C101,30,C,4,2,OPTIMAL,320.0782,4,3,3,0,1,0.75,319.1502,0.0,0.9279,60,2.0,2.0,1.0
030_C101,30,C,4,3,OPTIMAL,7.6028,4,0,0,0,4,0.0,0.0,0.0,7.6028,60,2.0,2.0,1.0
030_C101,30,C,4,4,OPTIMAL,99.403,4,1,1,0,3,0.25,79.0571,0.0,20.3458,60,2.0,2.0,1.0
030_C101,30,C,4,5,OPTIMAL,528.6413,4,4,4,0,0,1.0,528.6413,0.0,0.0,60,2.0,2.0,1.0
030_C101,30,C,4,6,OPTIMAL,453.4071,4,4,4,0,0,1.0,453.4071,0.0,0.0,60,2.0,2.0,1.0
030_C101,30,C,4,7,OPTIMAL,106.0873,4,1,1,0,3,0.25,77.9647,0.0,28.1226,60,2.0,2.0,1.0
030_C101,30,C,4,8,OPTIMAL,256.9771,4,3,3,0,1,0.75,229.4637,0.0,27.5135,60,2.0,2.0,1.0
030_C101,30,C,4,9,OPTIMAL,114.0561,4,1,1,0,3,0.25,74.2315,0.0,39.8246,60,2.0,2.0,1.0
