instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C101,30,C,2,0,OPTIMAL,192.8883,2,2,2,0,0,1.0,192.8883,0.0,0.0,80,1.5,2.0,1.0
030_C101,30,C,2,1,OPTIMAL,131.766,2,1,1,0,1,0.5,123.1356,0.0,8.6304,80,1.5,2.0,1.0
030_C101,30,C,2,2,OPTIMAL,138.3967,2,1,1,0,1,0.5,110.4629,0.0,27.9338,80,1.5,2.0,1.0
030_C101,30,C,2,3,OPTIMAL,119.8575,2,1,1,0,1,0.5,112.2168,0.0,7.6407,80,1.5,2.0,1.0
030_C101,30,C,2,4,OPTIMAL,68.7095,2,1,1,0,1,0.5,54.9834,0.0,13.7261,80,1.5,2.0,1.0
030_C101,30,C,2,5,OPTIMAL,124.0302,2,1,1,0,1,0.5,118.3143,0.0,5.7159,80,1.5,2.0,1.0
030_C101,30,C,2,6,OPTIMAL,130.2639,2,1,1,0,1,0.5,128.9407,0.0,1.3232,80,1.5,2.0,1.0
030_C101,30,C,2,7,OPTIMAL,6.1548,2,0,0,0,2,0.0,0.0,0.0,6.1548,80,1.5,2.0,1.0
030_C101,30,C,2,8,OPTIMAL,124.0552,2,1,1,0,1,0.5,119.5743,0.0,4.481,80,1.5,2.0,1.0
030_C101,30,C,2,9,OPTIMAL,17.2274,2,0,0,0,2,0.0,0.0,0.0,17.2274,80,1.5,2.0,1.0
030_C101,30,C,4,0,OPTIMAL,135.0472,4,2,2,0,2,0.5,130.8534,0.0,4.1938,80,1.5,2.0,1.0
030_C101,30,C,4,1,OPTIMAL,158.2619,4,1,1,0,3,0.25,124.8091,0.0,33.4528,80,1.5,2.0,1.0
030_C101,30,C,4,2,OPTIMAL,136.4211,4,1,1,0,3,0.25,119.3095,0.0,17.1116,80,1.5,2.0,1.0
030_C101,30,C,4,3,OPTIMAL,7.6028,4,0,0,0,4,0.0,0.0,0.0,7.6028,80,1.5,2.0,1.0
030_C101,30,C,4,4,OPTIMAL,45.359,4,0,0,0,4,0.0,0.0,0.0,45.359,80,1.5,2.0,1.0
030_C101,30,C,4,5,OPTIMAL,331.8701,4,3,3,0,1,0.75,285.9752,0.0,45.8949,80,1.5,2.0,1.0
030_C101,30,C,4,6,OPTIMAL,301.1125,4,2,2,0,2,0.5,221.8876,0.0,79.225,80,1.5,2.0,1.0
