instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C105,30,C,2,9,OPTIMAL,14.5179,2,0,0,0,2,0.0,0.0,0.0,14.5179,80,0.5,2.0,1.0
030_C105,30,C,4,0,OPTIMAL,78.9619,4,3,3,0,1,0.75,77.3948,0.0,1.5672,80,0.5,2.0,1.0
030_C105,30,C,4,1,OPTIMAL,103.6025,4,4,1,3,0,1.0,103.6025,0.0,0.0,80,0.5,2.0,1.0
030_C105,30,C,4,2,OPTIMAL,72.1753,4,2,2,0,2,0.5,58.6592,0.0,13.5161,80,0.5,2.0,1.0
030_C105,30,C,4,3,OPTIMAL,64.2733,4,2,1,1,2,0.5,50.4058,0.0,13.8675,80,0.5,2.0,1.0
030_C105,30,C,4,4,OPTIMAL,48.4673,4,1,1,0,3,0.25,40.5329,0.0,7.9344,80,0.5,2.0,1.0
030_C105,30,C,4,5,OPTIMAL,115.3868,4,3,3,0,1,0.75,95.3251,0.0,20.0617,80,0.5,2.0,1.0
030_C105,30,C,4,6,OPTIMAL,104.3523,4,3,3,0,1,0.75,102.8578,0.0,1.4945,80,0.5,2.0,1.0
030_C105,30,C,4,7,OPTIMAL,28.4549,4,1,0,1,3,0.25,17.3732,0.0,11.0818,80,0.5,2.0,1.0
030_C105,30,C,4,8,OPTIMAL,75.0014,4,3,1,2,1,0.75,74.3183,0.0,0.6831,80,0.5,2.0,1.0
030_C105,30,C,4,9,OPTIMAL,28.0381,4,1,1,0,3,0.25,17.9849,0.0,10.0532,80,0.5,2.0,1.0
030_C105,30,C,6,0,OPTIMAL,85.3215,6,2,2,0,4,0.3333,54.9456,0.0,30.3759,80,0.5,2.0,1.0
030_C105,30,C,6,1,OPTIMAL,105.8494,6,4,4,0,2,0.6667,90.1995,0.0,15.6499,80,0.5,2.0,1.0
030_C105,30,C,6,2,OPTIMAL,134.9424,6,3,3,0,3,0.5,92.1796,0.0,42.7627,80,0.5,2.0,1.0
030_C105,30,C,6,3,OPTIMAL,113.6998,6,4,3,1,2,0.6667,105.7148,0.0,7.9851,80,0.5,2.0,1.0
030_C105,30,C,6,4,OPTIMAL,92.1463,6,2,1,1,4,0.3333,48.5981,0.0,43.5482,80,0.5,2.0,1.0
030_C105,30,C,6,5,OPTIMAL,134.2049,6,4,3,1,2,0.6667,108.7277,0.0,25.4773,80,0.5,2.0,1.0
030_C105,30,C,6,6,OPTIMAL,150.6101,6,3,1,2,3,0.5,118.9382,0.0,31.6719,80,0.5,2.0,1.0
030_C105,30,C,6,7,OPTIMAL,114.0564,6,5,4,1,1,0.8333,106.2746,0.0,7.7818,80,0.5,2.0,1.0
030_C105,30,C,6,8,OPTIMAL,95.8592,6,4,2,2,2,0.6667,77.2053,0.0,18.6539,80,0.5,2.0,1.0
030_C105,30,C,6,9,OPTIMAL,135.071,6,5,4,1,1,0.8333,134.8392,0.0,0.2319,80,0.5,2.0,1.0
030_C106,30,C,2,0,OPTIMAL,64.2961,2,2,2,0,0,1.0,64.2961,0.0,0.0,80,0.5,2.0,1.0
030_C106,30,C,2,1,OPTIMAL,49.6756,2,1,1,0,1,0.5,41.0452,0.0,8.6304,80,0.5,2.0,1.0
030_C106,30,C,2,2,OPTIMAL,64.7548,2,1,1,0,1,0.5,36.821,0.0,27.9338,80,0.5,2.0,1.0
030_C106,30,C,2,3,OPTIMAL,40.9746,2,1,1,0,1,0.5,37.4056,0.0,3.569,80,0.5,2.0,1.0
030_C106,30,C,2,4,OPTIMAL,32.0539,2,1,1,0,1,0.5,18.3278,0.0,13.7261,80,0.5,2.0,1.0
030_C106,30,C,2,5,OPTIMAL,45.592,2,1,1,0,1,0.5,39.4381,0.0,6.1539,80,0.5,2.0,1.0
030_C106,30,C,2,6,OPTIMAL,44.3034,2,1,1,0,1,0.5,42.9802,0.0,1.3232,80,0.5,2.0,1.0
030_C106,30,C,2,7,OPTIMAL,6.1548,2,0,0,0,2,0.0,0.0,0.0,6.1548,80,0.5,2.0,1.0
030_C106,30,C,2,8,OPTIMAL,73.8546,2,2,2,0,0,1.0,73.8546,0.0,0.0,80,0.5,2.0,1.0
030_C106,30,C,2,9,OPTIMAL,19.0324,2,1,1,0,1,0.5,17.8781,0.0,1.1543,80,0.5,2.0,1.0
030_C106,30,C,4,0,OPTIMAL,78.9619,4,3,2,1,1,0.75,77.3948,0.0,1.5672,80,0.5,2.0,1.0
030_C106,30,C,4,1,OPTIMAL,103.6025,4,4,2,2,0,1.0,103.6025,0.0,0.0,80,0.5,2.0,1.0
030_C106,30,C,4,2,OPTIMAL,56.8814,4,1,1,0,3,0.25,39.7698,0.0,17.1116,80,0.5,2.0,1.0
030_C106,30,C,4,3,OPTIMAL,74.0668,4,3,2,1,1,0.75,70.9245,0.0,3.1423,80,0.5,2.0,1.0
030_C106,30,C,4,4,OPTIMAL,31.7985,4,1,0,1,3,0.25,19.7643,0.0,12.0342,80,0.5,2.0,1.0
030_C106,30,C,4,5,OPTIMAL,105.3897,4,3,3,0,1,0.75,95.3251,0.0,10.0646,80,0.5,2.0,1.0
030_C106,30,C,4,6,OPTIMAL,113.3518,4,4,2,2,0,1.0,113.3518,0.0,0.0,80,0.5,2.0,1.0
030_C106,30,C,4,7,OPTIMAL,43.283,4,2,1,1,2,0.5,36.8643,0.0,6.4187,80,0.5,2.0,1.0
030_C106,30,C,4,8,OPTIMAL,68.9879,4,2,0,2,2,0.5,40.7913,0.0,28.1965,80,0.5,2.0,1.0
030_C106,30,C,4,9,OPTIMAL,31.8081,4,1,0,1,3,0.25,17.9849,0.0,13.8232,80,0.5,2.0,1.0
030_C106,30,C,6,0,OPTIMAL,77.7158,6,4,3,1,2,0.6667,64.919,0.0,12.7968,80,0.5,2.0,1.0
030_C106,30,C,6,1,OPTIMAL,105.8494,6,4,4,0,2,0.6667,90.1995,0.0,15.6499,80,0.5,2.0,1.0
030_C106,30,C,6,2,OPTIMAL,100.0932,6,2,2,0,4,0.3333,74.0613,0.0,26.0319,80,0.5,2.0,1.0
030_C106,30,C,6,3,OPTIMAL,88.8187,6,4,1,3,2,0.6667,86.341,0.0,2.4777,80,0.5,2.0,1.0
030_C106,30,C,6,4,OPTIMAL,126.1653,6,5,4,1,1,0.8333,126.1441,0.0,0.0212,80,0.5,2.0,1.0
030_C106,30,C,6,5,OPTIMAL,143.0965,6,6,5,1,0,1.0,143.0965,0.0,0.0,80,0.5,2.0,1.0
030_C106,30,C,6,6,OPTIMAL,144.7679,6,4,4,0,2,0.6667,136.8328,0.0,7.935,80,0.5,2.0,1.0
030_C106,30,C,6,7,OPTIMAL,108.891,6,5,5,0,1,0.8333,106.2746,0.0,2.6164,80,0.5,2.0,1.0
030_C106,30,C,6,8,OPTIMAL,130.8761,6,5,2,3,1,0.8333,114.3951,0.0,16.4811,80,0.5,2.0,1.0
030_C106,30,C,6,9,OPTIMAL,135.071,6,5,4,1,1,0.8333,134.8392,0.0,0.2319,80,0.5,2.0,1.0
030_C107,30,C,2,0,OPTIMAL,52.4037,2,1,1,0,1,0.5,42.3969,0.0,10.0069,80,0.5,2.0,1.0
030_C107,30,C,2,1,OPTIMAL,74.1059,2,2,2,0,0,1.0,74.1059,0.0,0.0,80,0.5,2.0,1.0
030_C107,30,C,2,2,OPTIMAL,66.5404,2,2,2,0,0,1.0,66.5404,0.0,0.0,80,0.5,2.0,1.0
030_C107,30,C,2,3,OPTIMAL,38.7483,2,0,0,0,2,0.0,0.0,0.0,38.7483,80,0.5,2.0,1.0
030_C107,30,C,2,4,OPTIMAL,23.6439,2,1,0,1,1,0.5,17.817,0.0,5.8269,80,0.5,2.0,1.0
030_C107,30,C,2,5,OPTIMAL,42.1468,2,1,1,0,1,0.5,39.4381,0.0,2.7087,80,0.5,2.0,1.0
030_C107,30,C,2,6,OPTIMAL,47.0096,2,1,1,0,1,0.5,42.9802,0.0,4.0293,80,0.5,2.0,1.0
030_C107,30,C,2,7,OPTIMAL,23.7041,2,1,1,0,1,0.5,17.2195,0.0,6.4846,80,0.5,2.0,1.0
030_C107,30,C,2,8,OPTIMAL,46.2021,2,1,0,1,1,0.5,33.9965,0.0,12.2056,80,0.5,2.0,1.0
030_C107,30,C,2,9,OPTIMAL,14.5179,2,0,0,0,2,0.0,0.0,0.0,14.5179,80,0.5,2.0,1.0
030_C107,30,C,4,0,OPTIMAL,82.4951,4,3,2,1,1,0.75,77.3948,0.0,5.1003,80,0.5,2.0,1.0
030_C107,30,C,4,1,OPTIMAL,74.9347,4,3,3,0,1,0.75,61.9994,0.0,12.9352,80,0.5,2.0,1.0
030_C107,30,C,4,2,OPTIMAL,74.405,4,1,1,0,3,0.25,39.7698,0.0,34.6351,80,0.5,2.0,1.0
030_C107,30,C,4,3,OPTIMAL,80.5591,4,3,1,2,1,0.75,67.3393,0.0,13.2198,80,0.5,2.0,1.0
030_C107,30,C,4,4,OPTIMAL,61.7908,4,2,1,1,2,0.5,60.2972,0.0,1.4936,80,0.5,2.0,1.0
030_C107,30,C,4,5,OPTIMAL,117.7743,4,3,3,0,1,0.75,112.8172,0.0,4.9571,80,0.5,2.0,1.0
030_C107,30,C,4,6,OPTIMAL,76.1778,4,2,2,0,2,0.5,73.9625,0.0,2.2153,80,0.5,2.0,1.0
030_C107,30,C,4,7,OPTIMAL,55.7783,4,3,2,1,1,0.75,55.7073,0.0,0.071,80,0.5,2.0,1.0
030_C107,30,C,4,8,OPTIMAL,75.1375,4,3,3,0,1,0.75,74.3183,0.0,0.8192,80,0.5,2.0,1.0
030_C107,30,C,4,9,OPTIMAL,40.7948,4,2,1,1,2,0.5,37.1605,0.0,3.6343,80,0.5,2.0,1.0
030_C107,30,C,6,0,OPTIMAL,78.4959,6,3,1,2,3,0.5,70.4144,0.0,8.0815,80,0.5,2.0,1.0
030_C107,30,C,6,1,OPTIMAL,133.1329,6,5,4,1,1,0.8333,119.4086,0.0,13.7243,80,0.5,2.0,1.0
030_C107,30,C,6,2,OPTIMAL,137.503,6,4,2,2,2,0.6667,127.8775,0.0,9.6256,80,0.5,2.0,1.0
030_C107,30,C,6,3,OPTIMAL,74.4185,6,2,1,1,4,0.3333,39.9657,0.0,34.4529,80,0.5,2.0,1.0
030_C107,30,C,6,4,OPTIMAL,109.6216,6,4,3,1,2,0.6667,103.431,0.0,6.1906,80,0.5,2.0,1.0
030_C107,30,C,6,5,OPTIMAL,133.681,6,5,5,0,1,0.8333,120.5983,0.0,13.0827,80,0.5,2.0,1.0
030_C107,30,C,6,6,OPTIMAL,155.9361,6,4,4,0,2,0.6667,152.7715,0.0,3.1646,80,0.5,2.0,1.0
030_C107,30,C,6,7,OPTIMAL,143.3147,6,6,6,0,0,1.0,143.3147,0.0,0.0,80,0.5,2.0,1.0
030_C107,30,C,6,8,OPTIMAL,86.6338,6,3,1,2,3,0.5,78.8713,0.0,7.7625,80,0.5,2.0,1.0
