instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C101,30,C,2,0,OPTIMAL,64.2961,2,2,2,0,0,1.0,64.2961,0.0,0.0,60,0.5,2.0,1.0
030_C101,30,C,2,1,OPTIMAL,74.1059,2,2,2,0,0,1.0,74.1059,0.0,0.0,60,0.5,2.0,1.0
030_C101,30,C,2,2,OPTIMAL,66.5404,2,2,2,0,0,1.0,66.5404,0.0,0.0,60,0.5,2.0,1.0
030_C101,30,C,2,3,OPTIMAL,45.0463,2,1,1,0,1,0.5,37.4056,0.0,7.6407,60,0.5,2.0,1.0
030_C101,30,C,2,4,OPTIMAL,32.0539,2,1,1,0,1,0.5,18.3278,0.0,13.7261,60,0.5,2.0,1.0
030_C101,30,C,2,5,OPTIMAL,45.154,2,1,1,0,1,0.5,39.4381,0.0,5.7159,60,0.5,2.0,1.0
030_C101,30,C,2,6,OPTIMAL,56.6922,2,1,1,0,1,0.5,42.9802,0.0,13.712,60,0.5,2.0,1.0
030_C101,30,C,2,7,OPTIMAL,20.0534,2,1,1,0,1,0.5,19.8075,0.0,0.2459,60,0.5,2.0,1.0
030_C101,30,C,2,8,OPTIMAL,44.3391,2,1,1,0,1,0.5,39.8581,0.0,4.481,60,0.5,2.0,1.0
030_C101,30,C,2,9,OPTIMAL,17.2274,2,0,0,0,2,0.0,0.0,0.0,17.2274,60,0.5,2.0,1.0
030_C101,30,C,4,0,OPTIMAL,63.2625,4,3,3,0,1,0.75,60.6359,0.0,2.6267,60,0.5,2.0,1.0
030_C101,30,C,4,1,OPTIMAL,65.6946,4,2,2,0,2,0.5,60.9253,0.0,4.7694,60,0.5,2.0,1.0
030_C101,30,C,4,2,OPTIMAL,80.7155,4,3,3,0,1,0.75,79.7876,0.0,0.9279,60,0.5,2.0,1.0
030_C101,30,C,4,3,OPTIMAL,7.6028,4,0,0,0,4,0.0,0.0,0.0,7.6028,60,0.5,2.0,1.0
030_C101,30,C,4,4,OPTIMAL,40.1101,4,1,1,0,3,0.25,19.7643,0.0,20.3458,60,0.5,2.0,1.0
030_C101,30,C,4,5,OPTIMAL,132.1603,4,4,4,0,0,1.0,132.1603,0.0,0.0,60,0.5,2.0,1.0
030_C101,30,C,4,6,OPTIMAL,113.3518,4,4,4,0,0,1.0,113.3518,0.0,0.0,60,0.5,2.0,1.0
030_C101,30,C,4,7,OPTIMAL,47.6138,4,1,1,0,3,0.25,19.4912,0.0,28.1226,60,0.5,2.0,1.0
030_C101,30,C,4,8,OPTIMAL,84.8794,4,3,3,0,1,0.75,57.3659,0.0,27.5135,60,0.5,2.0,1.0
030_C101,30,C,4,9,OPTIMAL,49.1669,4,2,1,1,2,0.5,36.5428,0.0,12.6241,60,0.5,2.0,1.0
030_C101,30,C,6,0,OPTIMAL,117.6911,6,6,6,0,0,1.0,117.6911,0.0,0.0,60,0.5,2.0,1.0
030_C101,30,C,6,1,OPTIMAL,129.859,6,4,4,0,2,0.6667,120.4856,0.0,9.3734,60,0.5,2.0,1.0
030_C101,30,C,6,2,OPTIMAL,134.2669,6,4,4,0,2,0.6667,128.834,0.0,5.4328,60,0.5,2.0,1.0
030_C101,30,C,6,3,OPTIMAL,89.6089,6,4,4,0,2,0.6667,86.341,0.0,3.2679,60,0.5,2.0,1.0
030_C101,30,C,6,4,OPTIMAL,98.6367,6,4,3,1,2,0.6667,91.0725,0.0,7.5642,60,0.5,2.0,1.0
030_C101,30,C,6,5,OPTIMAL,143.0965,6,6,5,1,0,1.0,143.0965,0.0,0.0,60,0.5,2.0,1.0
