LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,1,10,C,1,170,0.8588,0.3482,20.1154,9.3177
0.5,1,10,C,2,170,0.9265,0.1771,42.7302,13.2591
0.5,1,10,C,3,170,0.9216,0.1818,62.1967,12.9825
0.5,1,10,R,1,230,0.7217,0.4481,15.9835,8.4736
0.5,1,10,R,2,230,0.6239,0.3941,33.9536,16.2198
0.5,1,10,R,3,230,0.6536,0.3265,50.9075,17.9859
0.5,1,10,RC,1,160,0.6,0.4899,24.5765,15.4213
0.5,1,10,RC,2,160,0.7625,0.3398,58.1156,22.1157
0.5,1,10,RC,3,160,0.6312,0.3019,75.5886,28.5282
0.5,1,15,C,1,170,0.7529,0.4313,19.8148,11.3974
0.5,1,15,C,2,170,0.8471,0.2714,42.127,18.1372
0.5,1,15,C,3,170,0.8216,0.2402,63.4045,21.3974
0.5,1,15,R,1,230,0.5609,0.4963,16.5659,10.3734
0.5,1,15,R,2,230,0.6283,0.4063,37.2258,18.2267
0.5,1,15,R,3,230,0.5304,0.3649,44.1383,21.3061
0.5,1,15,RC,1,160,0.475,0.4994,19.5892,16.1081
0.5,1,15,RC,2,160,0.5188,0.4104,42.7238,27.7677
0.5,1,15,RC,3,160,0.5042,0.3415,64.4433,32.5118
0.5,1,25,C,2,170,0.7441,0.3265,47.4148,20.1585
0.5,1,25,C,4,170,0.7206,0.2377,85.8988,22.9908
0.5,1,25,C,6,170,0.7039,0.2599,114.1773,36.5967
0.5,1,25,R,2,230,0.587,0.4184,39.241,19.015
0.5,1,25,R,4,230,0.5413,0.3542,76.3315,30.4648
0.5,1,25,R,6,230,0.5681,0.3064,113.0083,33.7552
0.5,1,25,RC,2,160,0.4375,0.4021,39.6528,26.4541
0.5,1,25,RC,4,160,0.45,0.3444,83.3875,47.9573
0.5,1,25,RC,6,160,0.4531,0.3502,124.0017,69.2025
0.75,1,10,C,1,170,0.8353,0.3709,29.6631,14.4492
0.75,1,10,C,2,170,0.9147,0.1881,63.574,20.1162
0.75,1,10,C,3,170,0.8902,0.207,92.2895,19.9935
0.75,1,10,R,1,230,0.6783,0.4671,22.9792,13.1882
0.75,1,10,R,2,230,0.5891,0.4087,47.9136,25.2592
0.75,1,10,R,3,230,0.5783,0.3509,71.9597,28.3796
0.75,1,10,RC,1,160,0.5687,0.4953,35.148,24.1059
0.75,1,10,RC,2,160,0.7375,0.3489,85.5533,34.4919
0.75,1,10,RC,3,160,0.6104,0.3101,109.9482,44.4241
0.75,1,15,C,1,170,0.7118,0.4529,28.4798,17.6522
0.75,1,15,C,2,170,0.7971,0.3139,61.6463,27.5673
0.75,1,15,C,3,170,0.7941,0.2584,93.3959,32.906
0.75,1,15,R,1,230,0.4478,0.4973,22.5588,15.4487
0.75,1,15,R,2,230,0.537,0.427,52.2416,28.565
0.75,1,15,R,3,230,0.4464,0.3867,60.172,32.9102
0.75,1,15,RC,1,160,0.425,0.4943,27.5575,24.5765
0.75,1,15,RC,2,160,0.4906,0.4126,60.8935,42.3969
0.75,1,15,RC,3,160,0.475,0.3366,91.3829,50.6095
0.75,1,25,C,2,170,0.6735,0.3484,68.1908,30.349
0.75,1,25,C,4,170,0.6912,0.2415,123.8258,35.8101
0.75,1,25,C,6,170,0.6696,0.2635,165.1898,57.7448
0.75,1,25,R,2,230,0.513,0.4297,54.1043,29.7208
0.75,1,25,R,4,230,0.4674,0.3752,103.6455,49.2341
0.75,1,25,R,6,230,0.4949,0.3313,155.1514,56.2602
0.75,1,25,RC,2,160,0.4125,0.3935,55.6447,40.5568
0.75,1,25,RC,4,160,0.4219,0.3368,116.9841,74.1238
0.75,1,25,RC,6,160,0.426,0.3495,173.4381,108.2034
1.0,1,10,C,1,170,0.8353,0.3709,39.1145,19.7074
1.0,1,10,C,2,170,0.9059,0.1954,84.1165,27.1277
1.0,1,10,C,3,170,0.8824,0.209,121.7055,27.3453
1.0,1,10,R,1,230,0.5913,0.4916,29.1841,17.95
1.0,1,10,R,2,230,0.5457,0.4106,60.972,34.4671
1.0,1,10,R,3,230,0.5391,0.3587,90.8286,39.7793
1.0,1,10,RC,1,160,0.5687,0.4953,45.47,32.8945
1.0,1,10,RC,2,160,0.7344,0.3488,112.424,46.9422
1.0,1,10,RC,3,160,0.6062,0.3093,143.7559,60.6762
1.0,1,15,C,1,170,0.7,0.4583,36.9947,24.0876
1.0,1,15,C,2,170,0.7882,0.3243,80.6356,37.1648
1.0,1,15,C,3,170,0.7882,0.2574,122.7864,44.5858
1.0,1,15,R,1,230,0.4174,0.4931,27.5447,20.2874
1.0,1,15,R,2,230,0.4978,0.4209,65.6077,38.81
1.0,1,15,R,3,230,0.3855,0.3909,74.0371,45.09
1.0,1,15,RC,1,160,0.4188,0.4934,35.1011,33.0792
1.0,1,15,RC,2,160,0.4875,0.4144,78.7219,57.3797
1.0,1,15,RC,3,160,0.4729,0.3343,117.7443,68.748
1.0,1,25,C,2,170,0.6706,0.3477,87.6858,40.627
1.0,1,25,C,4,170,0.6824,0.2452,160.9132,49.15
1.0,1,25,C,6,170,0.6637,0.2623,214.978,78.9204
1.0,1,25,R,2,230,0.4804,0.4256,67.6904,40.8109
1.0,1,25,R,4,230,0.4174,0.3675,128.1948,69.1651
1.0,1,25,R,6,230,0.4529,0.336,193.0678,80.5131
1.0,1,25,RC,2,160,0.4125,0.3935,71.3842,54.9493
1.0,1,25,RC,4,160,0.4172,0.3351,149.6933,100.2429
1.0,1,25,RC,6,160,0.425,0.3505,222.0021,147.6449
1.5,1,10,C,1,170,0.8294,0.3761,57.9165,30.3624
1.5,1,10,C,2,170,0.9059,0.1954,125.1385,41.5194
1.5,1,10,C,3,170,0.8784,0.2099,180.1512,42.5096
1.5,1,10,R,1,230,0.587,0.4924,40.9941,28.0054
1.5,1,10,R,2,230,0.5326,0.4197,85.833,53.6039
1.5,1,10,R,3,230,0.5116,0.3789,125.9212,64.0909
1.5,1,10,RC,1,160,0.5625,0.4961,66.0344,50.8395
1.5,1,10,RC,2,160,0.725,0.3482,165.8057,72.0924
1.5,1,10,RC,3,160,0.6,0.3046,210.9516,93.2303
1.5,1,15,C,1,170,0.7,0.4583,53.7465,37.2369
1.5,1,15,C,2,170,0.7882,0.3243,118.5546,56.9821
1.5,1,15,C,3,170,0.7882,0.2574,181.365,68.3111
1.5,1,15,R,1,230,0.413,0.4924,37.1559,31.0136
1.5,1,15,R,2,230,0.4761,0.4254,90.5353,59.2829
1.5,1,15,R,3,230,0.3768,0.3932,99.1334,70.6256
1.5,1,15,RC,1,160,0.4125,0.4923,49.9304,50.443
1.5,1,15,RC,2,160,0.4844,0.4162,114.2535,87.807
1.5,1,15,RC,3,160,0.4708,0.3362,170.1274,105.2707
1.5,1,25,C,2,170,0.6706,0.3477,126.5012,62.2275
1.5,1,25,C,4,170,0.6824,0.2452,234.6937,76.8954
1.5,1,25,C,6,170,0.6618,0.2641,314.174,121.4818
1.5,1,25,R,2,230,0.4674,0.4299,93.5268,63.5635
1.5,1,25,R,4,230,0.4076,0.3707,173.8302,109.2071
1.5,1,25,R,6,230,0.4341,0.3442,262.0822,131.3352
1.5,1,25,RC,2,160,0.4125,0.3935,102.8632,84.1842
1.5,1,25,RC,4,160,0.4156,0.3353,214.7895,152.8835
1.5,1,25,RC,6,160,0.4208,0.3525,318.2534,227.3536
2.0,1,10,C,1,170,0.8294,0.3761,76.6805,41.1334
2.0,1,10,C,2,170,0.9059,0.1954,166.1606,56.0736
2.0,1,10,C,3,170,0.8745,0.2107,238.364,57.9714
2.0,1,10,R,1,230,0.587,0.4924,52.727,38.4568
2.0,1,10,R,2,230,0.5196,0.4256,110.3313,73.4036
2.0,1,10,R,3,230,0.5015,0.3879,159.8137,89.8291
2.0,1,10,RC,1,160,0.5625,0.4961,86.4922,68.9771
2.0,1,10,RC,2,160,0.7188,0.3477,218.4154,97.1148
2.0,1,10,RC,3,160,0.5979,0.3053,277.6327,125.6667
2.0,1,15,C,1,170,0.7,0.4583,70.4983,50.6192
2.0,1,15,C,2,170,0.7882,0.3243,156.4736,77.0834
2.0,1,15,C,3,170,0.7882,0.2574,239.9436,92.2884
2.0,1,15,R,1,230,0.413,0.4924,46.7454,42.3852
2.0,1,15,R,2,230,0.4674,0.4299,114.5907,80.362
2.0,1,15,R,3,230,0.3754,0.394,123.953,96.8857
2.0,1,15,RC,1,160,0.4125,0.4923,64.7453,68.1082
2.0,1,15,RC,2,160,0.4844,0.4162,149.692,118.5052
2.0,1,15,RC,3,160,0.4708,0.3362,222.4217,142.0855
2.0,1,25,C,2,170,0.6706,0.3477,165.3167,84.333
2.0,1,25,C,4,170,0.6824,0.2452,308.4381,105.051
2.0,1,25,C,6,170,0.6608,0.265,413.2742,164.4442
2.0,1,25,R,2,230,0.463,0.427,118.9699,86.7298
2.0,1,25,R,4,230,0.4011,0.3741,218.6689,150.365
2.0,1,25,R,6,230,0.4312,0.3457,329.4335,183.6586
2.0,1,25,RC,2,160,0.4125,0.3935,134.3422,113.6328
2.0,1,25,RC,4,160,0.4156,0.3353,279.8248,205.7971
2.0,1,25,RC,6,160,0.4188,0.3545,413.8172,307.8127
3.0,1,10,C,1,170,0.8176,0.3861,114.153,62.8412
3.0,1,10,C,2,170,0.9059,0.1954,248.2047,85.3366
3.0,1,10,C,3,170,0.8706,0.2114,354.3819,89.3453
3.0,1,10,R,1,230,0.5826,0.4931,76.0745,59.7063
3.0,1,10,R,2,230,0.5109,0.431,158.0323,113.9787
3.0,1,10,R,3,230,0.4971,0.3892,226.9779,142.638
3.0,1,10,RC,1,160,0.5625,0.4961,127.4078,105.5008
3.0,1,10,RC,2,160,0.7188,0.3477,323.4893,147.7023
