LAMBDA,PI_S,size,class,level,n_scenarios,frac_outsourced_mean,frac_outsourced_std,objective_mean,objective_std
0.5,5,10,C,1,170,0.8647,0.342,20.1874,9.2697
0.5,5,10,C,2,170,0.9441,0.1575,43.2035,12.8006
0.5,5,10,C,3,170,0.9353,0.1629,62.8212,11.9549
0.5,5,10,R,1,230,0.7261,0.446,16.0158,8.4393
0.5,5,10,R,2,230,0.6891,0.3522,35.6339,15.1593
0.5,5,10,R,3,230,0.6899,0.3131,52.4138,18.4057
0.5,5,10,RC,1,160,0.6062,0.4886,24.8238,15.2984
0.5,5,10,RC,2,160,0.8094,0.2843,61.0929,18.1163
0.5,5,10,RC,3,160,0.6875,0.2781,81.4138,26.1641
0.5,5,15,C,1,170,0.8,0.4,20.3948,10.9422
0.5,5,15,C,2,170,0.8559,0.2626,42.3763,17.9046
0.5,5,15,C,3,170,0.8529,0.2227,64.8167,21.4778
0.5,5,15,R,1,230,0.6043,0.489,17.3324,10.1713
0.5,5,15,R,2,230,0.6761,0.388,39.6144,17.7729
0.5,5,15,R,3,230,0.5797,0.356,47.4439,21.2516
0.5,5,15,RC,1,160,0.55,0.4975,22.1652,16.1668
0.5,5,15,RC,2,160,0.5437,0.4085,45.0944,26.8809
0.5,5,15,RC,3,160,0.5396,0.331,68.1907,32.1174
0.5,5,25,C,2,170,0.7765,0.3163,48.7784,20.374
0.5,5,25,C,4,170,0.7618,0.2149,89.6374,21.5627
0.5,5,25,C,6,170,0.7529,0.2365,118.7303,34.9489
0.5,5,25,R,2,230,0.6152,0.4048,40.2678,18.9161
0.5,5,25,R,4,230,0.6087,0.3307,81.4419,27.8802
0.5,5,25,R,6,230,0.6087,0.303,117.6312,33.4538
0.5,5,25,RC,2,160,0.4906,0.4049,43.8945,26.9348
0.5,5,25,RC,4,160,0.5031,0.3502,90.3908,48.2404
0.5,5,25,RC,6,160,0.5156,0.3465,136.1411,66.8284
0.75,5,10,C,1,170,0.8471,0.3599,29.8573,14.3869
0.75,5,10,C,2,170,0.9412,0.1611,64.5362,19.5277
0.75,5,10,C,3,170,0.9078,0.1808,93.3848,18.288
0.75,5,10,R,1,230,0.7087,0.4544,23.0457,13.1306
0.75,5,10,R,2,230,0.6587,0.3698,50.9022,23.6246
0.75,5,10,R,3,230,0.6275,0.3361,74.8779,28.7597
0.75,5,10,RC,1,160,0.5813,0.4934,35.5777,24.0312
0.75,5,10,RC,2,160,0.8094,0.2843,90.5915,28.4899
0.75,5,10,RC,3,160,0.675,0.2837,119.2377,40.8148
0.75,5,15,C,1,170,0.7706,0.4205,29.5551,16.8993
0.75,5,15,C,2,170,0.8294,0.3025,62.5623,27.6522
0.75,5,15,C,3,170,0.8314,0.2405,95.9727,32.9638
0.75,5,15,R,1,230,0.513,0.4998,23.9346,15.4133
0.75,5,15,R,2,230,0.5957,0.4112,56.029,27.7903
0.75,5,15,R,3,230,0.4928,0.3928,65.3507,32.8858
0.75,5,15,RC,1,160,0.5312,0.499,31.8471,24.9754
0.75,5,15,RC,2,160,0.5281,0.4155,64.495,41.622
0.75,5,15,RC,3,160,0.5208,0.3242,97.5517,49.7712
0.75,5,25,C,2,170,0.7353,0.3394,71.1322,31.4884
0.75,5,25,C,4,170,0.7309,0.222,129.7158,33.2234
0.75,5,25,C,6,170,0.7216,0.2417,173.295,54.8866
0.75,5,25,R,2,230,0.5565,0.4158,56.1865,29.4362
0.75,5,25,R,4,230,0.5348,0.361,112.745,45.5406
0.75,5,25,R,6,230,0.55,0.3268,163.6824,56.0708
0.75,5,25,RC,2,160,0.4781,0.4045,62.03,41.169
0.75,5,25,RC,4,160,0.4813,0.3575,128.3418,75.4781
0.75,5,25,RC,6,160,0.5052,0.3538,193.8788,106.5987
1.0,5,10,C,1,170,0.8471,0.3599,39.4527,19.6036
1.0,5,10,C,2,170,0.9324,0.171,85.6984,26.4073
1.0,5,10,C,3,170,0.902,0.1831,123.3498,24.8914
1.0,5,10,R,1,230,0.6174,0.486,29.3977,17.8551
1.0,5,10,R,2,230,0.613,0.3904,65.4056,32.5152
1.0,5,10,R,3,230,0.5899,0.3439,95.3946,39.8523
1.0,5,10,RC,1,160,0.5813,0.4934,46.1465,32.883
1.0,5,10,RC,2,160,0.8063,0.285,120.0644,38.93
1.0,5,10,RC,3,160,0.675,0.2837,156.84,55.8108
1.0,5,15,C,1,170,0.7588,0.4278,38.625,23.0505
1.0,5,15,C,2,170,0.8206,0.3142,82.4287,37.6551
1.0,5,15,C,3,170,0.8294,0.2405,126.7242,44.6795
1.0,5,15,R,1,230,0.4739,0.4993,29.6981,20.6319
1.0,5,15,R,2,230,0.5609,0.4178,71.1231,37.9611
1.0,5,15,R,3,230,0.4348,0.3973,80.9837,45.1804
1.0,5,15,RC,1,160,0.5312,0.499,41.3922,33.9171
1.0,5,15,RC,2,160,0.5281,0.4155,83.7562,56.7232
1.0,5,15,RC,3,160,0.5167,0.3245,126.4283,67.4377
1.0,5,25,C,2,170,0.7324,0.3393,92.6668,42.8071
1.0,5,25,C,4,170,0.7235,0.2237,169.0503,45.4362
1.0,5,25,C,6,170,0.7196,0.2415,227.0502,74.8734
1.0,5,25,R,2,230,0.5283,0.42,71.048,40.4871
1.0,5,25,R,4,230,0.4967,0.36,141.6008,64.705
1.0,5,25,R,6,230,0.5174,0.3361,206.333,80.519
1.0,5,25,RC,2,160,0.4781,0.4045,80.1577,55.884
1.0,5,25,RC,4,160,0.4797,0.3568,165.771,103.1703
1.0,5,25,RC,6,160,0.5042,0.3545,251.2432,146.8326
1.5,5,10,C,1,170,0.8412,0.3655,58.5425,30.1298
1.5,5,10,C,2,170,0.9324,0.171,127.96,40.3581
1.5,5,10,C,3,170,0.898,0.1845,182.9079,38.5871
1.5,5,10,R,1,230,0.6087,0.488,41.5422,27.7902
1.5,5,10,R,2,230,0.5957,0.4005,92.977,51.1235
1.5,5,10,R,3,230,0.5652,0.3616,133.9026,63.5535
1.5,5,10,RC,1,160,0.5813,0.4934,67.2842,50.9003
1.5,5,10,RC,2,160,0.8063,0.285,178.848,59.8755
1.5,5,10,RC,3,160,0.6667,0.2814,231.5439,85.777
1.5,5,15,C,1,170,0.7588,0.4278,56.4869,35.602
1.5,5,15,C,2,170,0.8206,0.3142,122.102,58.0372
1.5,5,15,C,3,170,0.8294,0.2405,188.2008,68.4239
1.5,5,15,R,1,230,0.4696,0.4991,40.7873,31.884
1.5,5,15,R,2,230,0.537,0.4193,99.4426,58.3886
1.5,5,15,R,3,230,0.4261,0.3994,109.7861,71.0559
1.5,5,15,RC,1,160,0.525,0.4994,60.3002,51.9658
1.5,5,15,RC,2,160,0.525,0.4176,122.1679,87.2635
1.5,5,15,RC,3,160,0.5125,0.3289,183.6278,103.2359
1.5,5,25,C,2,170,0.7324,0.3393,135.5616,66.0369
1.5,5,25,C,4,170,0.7235,0.2237,247.3353,71.1444
1.5,5,25,C,6,170,0.7176,0.2432,334.3982,115.2229
1.5,5,25,R,2,230,0.5174,0.4167,99.7455,62.9229
1.5,5,25,R,4,230,0.4891,0.364,196.6128,104.2205
1.5,5,25,R,6,230,0.4985,0.3475,286.9207,132.0053
1.5,5,25,RC,2,160,0.4781,0.4045,116.4132,85.7671
1.5,5,25,RC,4,160,0.4781,0.3573,240.4163,158.9299
1.5,5,25,RC,6,160,0.499,0.3591,365.1185,228.1274
2.0,5,10,C,1,170,0.8412,0.3655,77.5944,40.7515
2.0,5,10,C,2,170,0.9324,0.171,170.2216,54.3853
2.0,5,10,C,3,170,0.8941,0.1858,242.2332,52.6103
2.0,5,10,R,1,230,0.6087,0.488,53.5789,38.1209
2.0,5,10,R,2,230,0.5739,0.4131,119.962,70.5643
2.0,5,10,R,3,230,0.5493,0.3746,171.1471,88.5725
2.0,5,10,RC,1,160,0.5813,0.4934,88.4219,69.0627
2.0,5,10,RC,2,160,0.8063,0.285,237.6315,80.9036
2.0,5,10,RC,3,160,0.6667,0.2814,305.9146,115.8294
2.0,5,15,C,1,170,0.7588,0.4278,74.3487,48.3694
2.0,5,15,C,2,170,0.8206,0.3142,161.7753,78.5831
2.0,5,15,C,3,170,0.8294,0.2405,249.6773,92.3378
2.0,5,15,R,1,230,0.4696,0.4991,51.8311,43.7184
2.0,5,15,R,2,230,0.5217,0.4242,126.9708,79.3069
2.0,5,15,R,3,230,0.4246,0.4003,138.181,97.752
2.0,5,15,RC,1,160,0.5188,0.4996,79.0267,70.1083
2.0,5,15,RC,2,160,0.525,0.4176,160.4576,118.0192
2.0,5,15,RC,3,160,0.5125,0.3289,240.7269,139.4056
2.0,5,25,C,2,170,0.7324,0.3393,178.4563,89.5425
2.0,5,25,C,4,170,0.7235,0.2237,325.5843,97.3392
2.0,5,25,C,6,170,0.7167,0.2431,441.5975,155.7907
2.0,5,25,R,2,230,0.5043,0.417,127.8765,85.569
2.0,5,25,R,4,230,0.4783,0.3694,250.8302,144.8559
2.0,5,25,R,6,230,0.4949,0.349,365.5111,185.018
2.0,5,25,RC,2,160,0.4781,0.4045,152.6686,115.8644
2.0,5,25,RC,4,160,0.4781,0.3573,314.9678,214.9276
2.0,5,25,RC,6,160,0.499,0.3591,478.4584,310.0601
3.0,5,10,C,1,170,0.8294,0.3761,115.6427,62.1435
3.0,5,10,C,2,170,0.9324,0.171,254.7448,82.5131
3.0,5,10,C,3,170,0.8882,0.1877,360.3392,81.2332
3.0,5,10,R,1,230,0.6087,0.488,77.6524,59.2514
3.0,5,10,R,2,230,0.5652,0.4197,172.2908,110.7793
3.0,5,10,R,3,230,0.5449,0.379,244.6016,140.3496
3.0,5,10,RC,1,160,0.575,0.4943,130.5371,105.4696
3.0,5,10,RC,2,160,0.8063,0.285,355.1985,123.0382
3.0,5,10,RC,3,160,0.6667,0.2814,454.656,176.2704
3.0,5,15,C,1,170,0.7588,0.4278,110.0723,74.1053
3.0,5,15,C,2,170,0.8206,0.3142,241.122,119.8288
3.0,5,15,C,3,170,0.8275,0.2404,372.3844,140.193
3.0,5,15,R,1,230,0.4652,0.4988,73.9077,67.9044
3.0,5,15,R,2,230,0.5065,0.4336,179.8578,122.1463
3.0,5,15,R,3,230,0.4217,0.4022,194.5903,152.128
3.0,5,15,RC,1,160,0.5188,0.4996,116.4391,106.6493
3.0,5,15,RC,2,160,0.525,0.4176,237.0369,179.7642
3.0,5,15,RC,3,160,0.5125,0.3289,354.9249,212.0599
3.0,5,25,C,2,170,0.7324,0.3393,264.2458,136.8118
3.0,5,25,C,4,170,0.7235,0.2237,482.0823,150.1387
3.0,5,25,C,6,170,0.7167,0.2431,655.9697,237.0819
3.0,5,25,R,2,230,0.5,0.417,183.3248,131.211
3.0,5,25,R,4,230,0.4717,0.3734,357.167,227.472
3.0,5,25,R,6,230,0.492,0.3514,521.7993,292.2163
3.0,5,25,RC,2,160,0.4781,0.4045,225.1795,176.2623
3.0,5,25,RC,4,160,0.4781,0.3573,464.0707,327.1544
3.0,5,25,RC,6,160,0.4979,0.3599,704.6699,474.3555
5.0,5,10,C,1,170,0.8294,0.3761,191.2596,105.5138
5.0,5,10,C,2,170,0.9324,0.171,423.7911,138.8539
5.0,5,10,C,3,170,0.8882,0.1877,595.5067,140.0671
5.0,5,10,R,1,230,0.6087,0.488,125.7995,102.0228
5.0,5,10,R,2,230,0.5565,0.4261,275.8849,193.0605
5.0,5,10,R,3,230,0.5377,0.3823,389.9351,246.1805
5.0,5,10,RC,1,160,0.575,0.4943,214.3433,178.5447
5.0,5,10,RC,2,160,0.8063,0.285,590.3326,207.3979
5.0,5,10,RC,3,160,0.6667,0.2814,752.1388,297.5401
5.0,5,15,C,1,170,0.7588,0.4278,181.5195,125.8043
5.0,5,15,C,2,170,0.8206,0.3142,399.8152,202.497
5.0,5,15,C,3,170,0.8275,0.2404,617.6869,236.1592
5.0,5,15,R,1,230,0.4652,0.4988,117.6633,116.6135
5.0,5,15,R,2,230,0.5065,0.4336,283.6016,210.4833
5.0,5,15,R,3,230,0.4174,0.4049,306.5344,262.1844
5.0,5,15,RC,1,160,0.5188,0.4996,191.2641,180.0552
5.0,5,15,RC,2,160,0.525,0.4176,390.1956,303.5226
5.0,5,15,RC,3,160,0.5125,0.3289,583.321,357.7322
5.0,5,25,C,2,170,0.7324,0.3393,435.8248,231.6448
5.0,5,25,C,4,170,0.7235,0.2237,795.0783,256.1927
5.0,5,25,C,6,170,0.7167,0.2431,1084.7141,399.868
5.0,5,25,R,2,230,0.5,0.417,293.6196,223.4358
5.0,5,25,R,4,230,0.4696,0.3747,567.2853,395.2509
5.0,5,25,R,6,230,0.4884,0.3539,831.7208,509.1083
5.0,5,25,RC,2,160,0.4781,0.4045,370.2013,297.2929
5.0,5,25,RC,4,160,0.4781,0.3573,762.2766,551.8744
5.0,5,25,RC,6,160,0.4979,0.3599,1156.6127,803.5064
