instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C101,30,C,2,0,OPTIMAL,155.1444,2,1,1,0,1,0.5,127.1906,0.0,27.9538,90,1.5,2.0,1.0
030_C101,30,C,2,1,OPTIMAL,67.8628,2,0,0,0,2,0.0,0.0,0.0,67.8628,90,1.5,2.0,1.0
030_C101,30,C,2,2,OPTIMAL,138.3967,2,1,1,0,1,0.5,110.4629,0.0,27.9338,90,1.5,2.0,1.0
030_C101,30,C,2,3,OPTIMAL,119.8575,2,1,1,0,1,0.5,112.2168,0.0,7.6407,90,1.5,2.0,1.0
030_C101,30,C,2,4,OPTIMAL,68.7095,2,1,1,0,1,0.5,54.9834,0.0,13.7261,90,1.5,2.0,1.0
030_C101,30,C,2,5,OPTIMAL,10.9306,2,0,0,0,2,0.0,0.0,0.0,10.9306,90,1.5,2.0,1.0
030_C101,30,C,2,6,OPTIMAL,130.2639,2,1,1,0,1,0.5,128.9407,0.0,1.3232,90,1.5,2.0,1.0
030_C101,30,C,2,7,OPTIMAL,6.1548,2,0,0,0,2,0.0,0.0,0.0,6.1548,90,1.5,2.0,1.0
030_C101,30,C,2,8,OPTIMAL,124.0552,2,1,1,0,1,0.5,119.5743,0.0,4.481,90,1.5,2.0,1.0
030_C101,30,C,2,9,OPTIMAL,17.2274,2,0,0,0,2,0.0,0.0,0.0,17.2274,90,1.5,2.0,1.0
030_C101,30,C,4,0,OPTIMAL,135.0472,4,2,2,0,2,0.5,130.8534,0.0,4.1938,90,1.5,2.0,1.0
030_C101,30,C,4,1,OPTIMAL,158.2619,4,1,1,0,3,0.25,124.8091,0.0,33.4528,90,1.5,2.0,1.0
030_C101,30,C,4,2,OPTIMAL,136.4211,4,1,1,0,3,0.25,119.3095,0.0,17.1116,90,1.5,2.0,1.0
030_C101,30,C,4,3,OPTIMAL,7.6028,4,0,0,0,4,0.0,0.0,0.0,7.6028,90,1.5,2.0,1.0
030_C101,30,C,4,4,OPTIMAL,39.0222,4,0,0,0,4,0.0,0.0,0.0,39.0222,90,1.5,2.0,1.0
030_C101,30,C,4,5,OPTIMAL,299.4946,4,3,3,0,1,0.75,285.9752,0.0,13.5194,90,1.5,2.0,1.0
030_C101,30,C,4,6,OPTIMAL,301.1125,4,2,2,0,2,0.5,221.8876,0.0,79.225,90,1.5,2.0,1.0
030_C101,30,C,4,7,OPTIMAL,86.5961,4,1,1,0,3,0.25,58.4735,0.0,28.1226,90,1.5,2.0,1.0
030_C101,30,C,4,8,OPTIMAL,73.3987,4,0,0,0,4,0.0,0.0,0.0,73.3987,90,1.5,2.0,1.0
030_C101,30,C,4,9,OPTIMAL,41.0236,4,0,0,0,4,0.0,0.0,0.0,41.0236,90,1.5,2.0,1.0
030_C101,30,C,6,0,OPTIMAL,107.1986,6,1,1,0,5,0.1667,41.4573,0.0,65.7414,90,1.5,2.0,1.0
030_C101,30,C,6,1,OPTIMAL,186.6469,6,2,2,0,4,0.3333,161.6236,0.0,25.0233,90,1.5,2.0,1.0
030_C101,30,C,6,2,OPTIMAL,237.1601,6,2,2,0,4,0.3333,222.184,0.0,14.9762,90,1.5,2.0,1.0
030_C101,30,C,6,3,OPTIMAL,138.3426,6,1,1,0,5,0.1667,56.9798,0.0,81.3628,90,1.5,2.0,1.0
030_C101,30,C,6,4,OPTIMAL,102.2341,6,0,0,0,6,0.0,0.0,0.0,102.2341,90,1.5,2.0,1.0
030_C101,30,C,6,5,OPTIMAL,372.3963,6,4,2,2,2,0.6667,318.9257,0.0,53.4706,90,1.5,2.0,1.0
